politicians;p_age;p_gender;p_education;p_country;p_id;uri
putin;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Vladimir_Putin
christian lindner;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Christian_Lindner
karl lauterbach;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Karl_Lauterbach
olaf scholz;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Olaf_Scholz
angela merkel;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Angela_Merkel
olaf scholz;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Olaf_Scholz
emmanuel macron;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Emmanuel_Macron
joe biden;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Joe_Biden
merkel;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Angela_Merkel
özdemir;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Berat_Özdemir
scholz;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Michael_Scholz
angela merkel;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Angela_Merkel
barack obama;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Barack_Obama
volker bouffier;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Volker_Bouffier
gysi;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Gregor_Gysi
baerbock;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Annalena_Baerbock
schwesig;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Manuela_Schwesig
rudy giuliani;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Rudy_Giuliani
ruth bader ginsburg;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Ruth_Bader_Ginsburg
newt gingrich;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Newt_Gingrich
