politicians;p_age;p_gender;p_education;p_country;p_id;uri
joe biden;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Joe_Biden
barrack obama;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Barack_Obama
hilary clinton;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Hillary_Clinton
borris johnson;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Boris_Johnson
theresa may;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Theresa_May
tony blair;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Tony_Blair
gerhard schröder;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Gerhard_Schröder
angela merkel;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Angela_Merkel
caesar;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Julius_Caesar
napoleon;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Napoleon
putin;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Vladimir_Putin
bernard sanders;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Bernie_Sanders
angela merkel;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Angela_Merkel
boris johnson;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Boris_Johnson
boris johnson;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Boris_Johnson
angela merkel;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Angela_Merkel
madeleine albright;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Madeleine_Albright
angla merkel;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Angela_Merkel
joe biden;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Joe_Biden
wladimir putin;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Vladimir_Putin
annalena baerbock;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Annalena_Baerbock
wladimir putin;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Vladimir_Putin
olaf scholz;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Olaf_Scholz
roosevelt;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Franklin_D._Roosevelt
churchill;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Winston_Churchill
bismarck;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Bismarck,_North_Dakota
