european_countries;p_age;p_gender;p_education;p_country;p_id;uri
austria;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Austria
iceland;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Iceland
faroerislands;27;Male;Master's degree;germany;28;NaN
norway;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Norway
denmark;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Denmark
sweden;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Sweden
netherlands;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Netherlands
austria;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Austria
italy;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Italy
france;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/France
greece;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Greece
croatia;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Croatia
germany;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Germany
france;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/France
italy;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Italy
germany;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Germany
france;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/France
italy;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Italy
germany;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Germany
united kingdom;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/United_Kingdom
austria;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Austria
san marino;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/San_Marino
ukraine;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Ukraine
spain;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Spain
germany;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Germany
poland;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Poland
sweden;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Sweden
germany;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Germany
switzerland;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Switzerland
austria;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Austria
germany;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Germany
france;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/France
italy;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Italy
germany;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Germany
spain;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Spain
france;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/France
germany;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Germany
france;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/France
spain;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Spain
france;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/France
germany;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Germany
spain;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Spain
italy;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Italy
greece;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Greece
france;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/France
germany;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Germany
ukraine;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Ukraine
united kingdom;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/United_Kingdom
italy;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Italy
germany;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Germany
france;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/France
sweden;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Sweden
spain;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Spain
france;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/France
germany;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Germany
france;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/France
netherlands;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Netherlands
germany;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Germany
italy;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Italy
sweden;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Sweden
germany;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Germany
spain;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Spain
italy;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Italy
germany;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Germany
switzerland;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Switzerland
austria;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Austria
germany;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Germany
france;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/France
italy;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Italy
france;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/France
spain;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Spain
united kingdom;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/United_Kingdom
germany;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Germany
ukraine;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Ukraine
poland;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Poland
germany;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Germany
france;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/France
poland;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Poland
france;34;Female;Master's degree;france;54;http://dbpedia.org/resource/France
germany;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Germany
romania;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Romania
croatia;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Croatia
slovenia;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Slovenia
denmark;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Denmark
italy;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Italy
france;26;Female;Master's degree;france;56;http://dbpedia.org/resource/France
germany;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Germany
republic of ireland;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Republic_of_Ireland
united kingdom;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/United_Kingdom
united kingdom;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/United_Kingdom
germany;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Germany
france;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/France
italy;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Italy
germany;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Germany
italy;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Italy
switzerland;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Switzerland
germany;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Germany
france;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/France
italy;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Italy
france;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/France
switzerland;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Switzerland
sweden;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Sweden
france;30;Female;Master's degree;france;62;http://dbpedia.org/resource/France
united kingdom;30;Female;Master's degree;france;62;http://dbpedia.org/resource/United_Kingdom
italy;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Italy
italy;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Italy
france;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/France
poland;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Poland
germany;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Germany
france;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/France
sweden;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Sweden
germany;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Germany
netherlands;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Netherlands
belgium;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Belgium
germany;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Germany
france;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/France
spain;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Spain
germany;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Germany
france;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/France
austria;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Austria
austria;0;Prefer not to say;;;68;http://dbpedia.org/resource/Austria
france;0;Prefer not to say;;;68;http://dbpedia.org/resource/France
spain;0;Prefer not to say;;;68;http://dbpedia.org/resource/Spain
switzerland;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Switzerland
ukraine;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Ukraine
luxembourg;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Luxembourg
france;26;Female;Master's degree;france;70;http://dbpedia.org/resource/France
portugal;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Portugal
italy;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Italy
germany;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Germany
france;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/France
belgium;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Belgium
germany;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Germany
italy;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Italy
france;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/France
germany;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Germany
france;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/France
