furniture;p_age;p_gender;p_education;p_country;p_id;uri
shelf;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Hatchback
table;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Table_tennis
couch;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Couch
table;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Table_tennis
wardrobe;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
bed;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Finistère
chair;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Professor
table;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Table_tennis
chair;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Professor
bed;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Finistère
bench;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Coach_(baseball)
chair;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Professor
table;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Table_tennis
bed;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Finistère
table;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Table_tennis
chair;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Professor
desk;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Drama_Desk_Award
table;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Table_tennis
chair;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Professor
cupboard;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Cupboard
chair;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Professor
table;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Table_tennis
lamp;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Fluorescent_lamp
chair;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Professor
table;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Table_tennis
cabinet;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/West_Sussex
chair;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Professor
shelf;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hatchback
table;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Table_tennis
desk;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Drama_Desk_Award
chair;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Professor
wardrobe;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
desk;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Drama_Desk_Award
chair;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Professor
cupboard;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Cupboard
chair;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Professor
tablet;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Tablet_computer
cupboard;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Cupboard
couch;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Couch
table;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Table_tennis
chair;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Professor
chair;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Professor
table;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Table_tennis
cabinet;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/West_Sussex
couch;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Couch
bed;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Finistère
table;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Table_tennis
coffeetable;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Coffee_table_book
ottoman;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Ottoman_Empire
couch;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Couch
chair;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Professor
sofa;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Sofia
table;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Table_tennis
couch;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Couch
table;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Table_tennis
sideboard;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Sideboard_(cards)
chair;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Professor
table;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Table_tennis
couch;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Couch
table;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Table_tennis
chair;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Professor
shelf;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Hatchback
table;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Table_tennis
bed;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Finistère
chair;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Professor
desk;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Drama_Desk_Award
chair;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Professor
wardrobe;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
sofa;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Sofia
bed;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Finistère
chair;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Professor
chair;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Professor
desk;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Drama_Desk_Award
wardrobe;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/The_Lion,_the_Witch_and_the_Wardrobe
bed;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Finistère
table;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Table_tennis
