fast_food;p_age;p_gender;p_education;p_country;p_id;uri
hamburger;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Hamburger_SV
kebab;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/Kebab
french fries;24;Male;Master's degree;germany;12;http://dbpedia.org/resource/France
hamburger;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Hamburger_SV
pizza;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Pizza
kebab;26;Female;Master's degree;germany;13;http://dbpedia.org/resource/Kebab
french fries;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/France
hamburger;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Hamburger_SV
chick nuggets;26;Female;Master's degree;germany;14;http://dbpedia.org/resource/Chicken_nugget
hamburger;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/Hamburger_SV
french fries;28;Female;Doctorate (e.g. PhD);germany;15;http://dbpedia.org/resource/France
onionrings;28;Female;Doctorate (e.g. PhD);germany;15;NaN
hamburger;25;Male;;germany;16;http://dbpedia.org/resource/Hamburger_SV
french fries;25;Male;;germany;16;http://dbpedia.org/resource/France
hamburger;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Hamburger_SV
pizza;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/Pizza
sandwich;31;Female;Master's degree;germany;17;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Hamburger_SV
pizza;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/Pizza
sandwich;36;Male;Master's degree;germany;18;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Hamburger_SV
pizza;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Pizza
hot dog;27;Male;Master's degree;germany;19;http://dbpedia.org/resource/Hot_dog
pizza;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Pizza
hamburger;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Hamburger_SV
kebab;33;Male;Doctorate (e.g. PhD);germany;20;http://dbpedia.org/resource/Kebab
hamburger;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Hamburger_SV
french fries;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/France
chicken sandwich;26;Male;Bachelor's degree;usa;21;http://dbpedia.org/resource/Chicken_sandwich
hamburger;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Hamburger_SV
hot dog;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Hot_dog
pizza;44;Female;Doctorate (e.g. PhD);sweden;22;http://dbpedia.org/resource/Pizza
hamburger;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Hamburger_SV
wings;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Detroit_Red_Wings
french fries;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/France
hamburger;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Hamburger_SV
pizza;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Pizza
chickenwings;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Morlocks_(comics)
pizza;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Pizza
hamburger;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Hamburger_SV
kebab;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Kebab
hamburger;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Hamburger_SV
pizza;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Pizza
taco;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Taco
hamburger;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Hamburger_SV
kebab;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Kebab
sandwich;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Hamburger_SV
french fries;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/France
chickenwings;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Morlocks_(comics)
hamburger;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Hamburger_SV
taco;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Taco
sandwich;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
hamburger;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Hamburger_SV
sandwich;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands
pizza;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Pizza
hamburger;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Hamburger_SV
hot dog;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Hot_dog
hamburger;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Hamburger_SV
french fries;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/France
wrap;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Wrap_advertising
hamburger;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Hamburger_SV
hot dog;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Hot_dog
currywurst;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Chip_fork
