us_companies;p_age;p_gender;p_education;p_country;p_id;uri
amazon;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Time_in_Brazil
google;24;Male;Master's degree;Germany;12;http://dbpedia.org/resource/Google
microsoft;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Microsoft_Windows
amazon;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Time_in_Brazil
apple;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Apple_II
walmart;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Walmart
space x;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/SpaceX
amazon;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/Time_in_Brazil
apple;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Apple_II
microsoft;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Microsoft_Windows
nestle;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Nestlé
gm;25;Male;NaN;Germany;16;http://dbpedia.org/resource/GM_B_platform
general electric;25;Male;NaN;Germany;16;http://dbpedia.org/resource/General_Electric
microsoft;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Microsoft_Windows
meta;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Heavy_metal_music
glaxosmithkline;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/GlaxoSmithKline
general motors;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/General_Motors
apple;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Apple_II
chrysler;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Chrysler
boeing;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Boeing
unilever;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Unilever
alphabet;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Alphabet_Inc.
meta;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Heavy_metal_music
tesla;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Tesla,_Inc.
google;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Google
amazon;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Time_in_Brazil
exxon;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Exxon
dupont;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/DuPont
oracle;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Oracle_Corporation
microsoft;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Microsoft_Windows
google;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Google
apple;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Apple_II
apple;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Apple_II
microsoft;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Microsoft_Windows
nvidia;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Nvidia
apple;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Apple_II
microsoft;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Microsoft_Windows
netflix;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Netflix
google;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Google
fedex;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/FedEx
apple;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Apple_II
amazon;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Time_in_Brazil
dell;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Dell_Publishing
boston dynamics;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Boston_Dynamics
apple;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Apple_II
amazon;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Time_in_Brazil
tesla;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Tesla,_Inc.
coca cola;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/The_Coca-Cola_Company
amazon;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Time_in_Brazil
gm;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/GM_B_platform
pepsi;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/List_of_Pepsi_variations
berkshire hathaway;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Berkshire_Hathaway
jp morgan chase;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/JPMorgan_Chase
twitter;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Twitter
facebook;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Facebook
walmart;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Walmart
walmart;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Walmart
home depot;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Home_Depot
ups;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Parody
microsoft;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Microsoft_Windows
apple;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Apple_II
tesla;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Tesla,_Inc.
ibm;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/IBM
wells fargo;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Wells_Fargo
blackrock;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Blackrock_College
amazon;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Time_in_Brazil
tesla;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Tesla,_Inc.
apple;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Apple_II
general electrics;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/General_Electric
exxon mobile;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/ExxonMobil
jp morgan;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/JPMorgan_Chase
nike;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Nike,_Inc.
gm;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/GM_B_platform
ford;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Ford_Motor_Company
apple;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Apple_II
microsoft;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Microsoft_Windows
google;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Google
ibm;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/IBM
general electric;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/General_Electric
general motors;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/General_Motors
procter & gamble;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Procter_&_Gamble
blackrock;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Blackrock_College
microsoft;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Microsoft_Windows
amazon;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Time_in_Brazil
walmart;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Walmart
coca cola company;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/The_Coca-Cola_Company
shell;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Royal_Dutch_Shell
