african_animals;p_age;p_gender;p_education;p_country;p_id;uri
elephant;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Essex
giraffe;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Giraffe
lion;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Essex
elephant;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Republican_Party_(United_States)
rhino;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Rhino_Entertainment
antelope;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Antelope_County,_Nebraska
tiger;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Hamilton_Tiger-Cats
lion;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Essex
lion;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Essex
zebra;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Zebra_Puzzle
giraffe;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Giraffe
lion;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Essex
giraffe;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Giraffe
elephant;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Giraffe
alligator;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Alligator_Records
lion;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Essex
hippo;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Augustine_of_Hippo
mamba;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Black_mamba
zebra;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Zebra_Puzzle
elephant;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Essex
elephant;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Essex
giraffe;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Giraffe
giraffe;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Giraffe
lion;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Essex
rhino;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Rhino_Entertainment
zebra;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Zebra_Puzzle
lion;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Essex
giraffe;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Giraffe
giraffe;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Giraffe
lion;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Essex
zebra;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Zebra_Puzzle
zebra;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Zebra_Puzzle
lion;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Essex
giraffe;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Giraffe
lion;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Essex
elephant;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Republican_Party_(United_States)
buffalo;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Buffalo_Bills
elephant;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Republican_Party_(United_States)
monkey;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Monkey_Island_(series)
lion;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Essex
giraffe;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Giraffe
elephant;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Essex
elephant;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Essex
rhino;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Rhino_Entertainment
zebra;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Zebra_Puzzle
elephant;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Essex
elephant;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Giraffe
zebra;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Zebra_Puzzle
lion;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Essex
elephant;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Republican_Party_(United_States)
hippo;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Augustine_of_Hippo
elephant;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Republican_Party_(United_States)
impala;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Chevrolet_Impala
lion;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Essex
elephant;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Essex
monkey;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Monkey_Island_(series)
lion;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Essex
zebra;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Zebra_Puzzle
giraffe;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Giraffe
elephant;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Essex
giraffe;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Giraffe
lion;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Essex
giraffe;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Giraffe
elephant;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Republican_Party_(United_States)
elephant;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Essex
cheetah;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Cheetah
elephant;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Giraffe
zebra;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Zebra_Puzzle
lion;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Essex
cheetah;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Cheetah
giraffe;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Giraffe
giraffe;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Giraffe
elephant;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Republican_Party_(United_States)
gazelle;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Gazelle_Stakes
elephant;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Republican_Party_(United_States)
hippo;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Augustine_of_Hippo
giraffe;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Giraffe
lion;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Essex
elephant;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Zebra_Puzzle
zebra;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Zebra_Puzzle
giraffe gazelle;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Gerenuk
lion;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Essex
zebra;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Zebra_Puzzle
panther;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Carolina_Panthers
antelope;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Antelope_County,_Nebraska
lion;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Essex
elephant;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Republican_Party_(United_States)
elephant;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Republican_Party_(United_States)
cougar;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Cougar
lion;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Essex
giraffe;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Giraffe
lion;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Essex
antelope;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Antelope_County,_Nebraska
elephant;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Zebra_Puzzle
giraffe;21;Female;High school degree or equivalent;germany;60;http://dbpedia.org/resource/Giraffe
rhino;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Rhino_Entertainment
giraffe;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Giraffe
lion;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Essex
zebra;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Zebra_Puzzle
elephant;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Republican_Party_(United_States)
panther;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Carolina_Panthers
lion;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Essex
scorpion;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Arachnid
monkey;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Monkey_Island_(series)
lion;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Essex
zebra;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Zebra_Puzzle
scorpion;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Arachnid
elephant;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Essex
hyena;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Spotted_hyena
elephant;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Zebra_Puzzle
tiger;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Hamilton_Tiger-Cats
elephant;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Giraffe
elephant;0;Prefer not to say;;;68;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;0;Prefer not to say;;;68;http://dbpedia.org/resource/Essex
rhino;0;Prefer not to say;;;68;http://dbpedia.org/resource/Rhino_Entertainment
lion;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Essex
giraffe;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Giraffe
zebra;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Zebra_Puzzle
camel;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Camel_case
elephant;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Republican_Party_(United_States)
snake;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Dark-shouldered_snake_eel
giraffe;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Giraffe
elephant;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Zebra_Puzzle
lion;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Essex
elephant;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Zebra_Puzzle
lion;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Essex
elephant;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Giraffe
lion;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Essex
hyena;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Spotted_hyena
giraffe;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Giraffe
elephant;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Republican_Party_(United_States)
hyena;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Spotted_hyena
lion;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Essex
elephant;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Republican_Party_(United_States)
tiger;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Hamilton_Tiger-Cats
lion;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Essex
elephant;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Republican_Party_(United_States)
buffalo;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Buffalo_Bills
giraffe;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Giraffe
leopard;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Mac_OS_X_Leopard
lion;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Essex
elephant;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Zebra_Puzzle
lion;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Essex
zebra;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Zebra_Puzzle
elephant;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Giraffe
lion;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Essex
giraffe;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Giraffe
zebra;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Zebra_Puzzle
lion;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Essex
elephant;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Giraffe
elephant;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Giraffe
zebra;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Zebra_Puzzle
elephant;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Zebra_Puzzle
lion;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Essex
giraffe;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Giraffe
lion;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Essex
elephant;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Zebra_Puzzle
elephant;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Zebra_Puzzle
hippo;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Augustine_of_Hippo
monkey;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Monkey_Island_(series)
crocodile;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Crocodile
hippo;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Augustine_of_Hippo
tiger;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Hamilton_Tiger-Cats
elephant;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Giraffe
giraffe;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Giraffe
elephant;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Essex
elephant;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Republican_Party_(United_States)
zebra;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Zebra_Puzzle
lion;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Essex
zebra;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Zebra_Puzzle
rhino;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Rhino_Entertainment
alligator;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Alligator_Records
elephant;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Giraffe
zebra;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Zebra_Puzzle
elephant;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Republican_Party_(United_States)
buffalo;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Buffalo_Bills
rhino;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Rhino_Entertainment
lion;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Essex
elephant;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Republican_Party_(United_States)
tiger;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Hamilton_Tiger-Cats
zebra;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Zebra_Puzzle
elephant;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Republican_Party_(United_States)
lion;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Essex
lion;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Essex
elephant;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Republican_Party_(United_States)
giraffe;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Giraffe
lion;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Essex
elephant;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Republican_Party_(United_States)
hippo;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Augustine_of_Hippo
zebra;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Zebra_Puzzle
gnu;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/GNU_General_Public_License
elephant;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Republican_Party_(United_States)
elephant;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Republican_Party_(United_States)
