nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
star wars;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Star_Wars
lord of the rings;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/The_Lord_of_the_Rings
lion king;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Essex
dumb & dumber;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Dumb_and_Dumber
youve got mail;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/You've_Got_Mail
rocky;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Rock_music
stirb langsam 1;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Television_Critics_Association
titanic;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/RMS_Titanic
the age of innocence;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Age_of_Innocence_(disambiguation)
12 monkeys;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/12_Monkeys
fear and loathing in las vegas;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas
scary movie;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Scary_Movie_(film_series)
water world;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Water_World
braveheart;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Braveheart
blade;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Metal_Blade_Records
tomorrow never dies;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Tomorrow_Never_Dies
die hard;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
nan;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Hunan
glenngarry glenn ross;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Glengarry_Glen_Ross
gattaca;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Gattaca
matrix;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/The_Matrix_(franchise)
pulp fiction;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Pulp_magazine
seven;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Seven_Network
good will hunting;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Good_Will_Hunting
pulp fiction;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Pulp_magazine
night in warth;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Monsters_in_Dungeons_&_Dragons
the sixth sense;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Sixth_sense
pulp fiction;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Pulp_magazine
pulp fiction;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Pulp_magazine
goodfellas;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Goodfellas
the silence of the lambs;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/The_Silence_of_the_Lambs
kevin allein zu hause;31;Male;Bachelor's degree;Germany;40;NaN
pulp fiction;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Pulp_magazine
american pie;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/American_Pie_(song)
jurassic park;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Jurassic_Park
scream;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Primal_Scream
pretty woman;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Pretty_Woman
basic instinct;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Basic_Instinct
casino;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Casino
la confidential;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/L.A._Confidential
forrest gump;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Forrest_Gump
good will hunting;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Good_Will_Hunting
independence day;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Ecuador
pretty woman;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Pretty_Woman
dirty dancing;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Dirty_Dancing
men in black;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Men_in_Black_(franchise)
titanic;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/RMS_Titanic
the mask;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Catcher
flubber;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Flubber
harry potter;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Harry_Potter
matrix;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/The_Matrix_(franchise)
terminator;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Terminator_(franchise)
pretty women;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Pretty_Woman
schindlers liste;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Schindler's_List
titanic;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/RMS_Titanic
forest gump;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Forrest_Gump
pretty women;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Pretty_Woman
shawshank redemption;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/The_Shawshank_Redemption
schindlers list;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Schindler's_List
star wars;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Star_Wars
forrest gump;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Forrest_Gump
pulp fiction;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Pulp_magazine
schindlers list;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Schindler's_List
pretty woman;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Pretty_Woman
jurassic park;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Jurassic_Park
the silence of the lambs;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/The_Silence_of_the_Lambs
pride and prejudice;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Pride_and_Prejudice
pulp friction;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/The_Rocketeer_&_The_Spirit:_Pulp_Friction
back to the future;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Back_to_the_Future
nan;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Hunan
clueless;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Pigeon_John
mulan;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Hua_Mulan
hook;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Drepanidae
nan;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Hunan
star wars;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Star_Wars
pulp fiction;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Pulp_magazine
goodwill hunting;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Good_Will_Hunting
con air;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Air_conditioning
stirb langsam;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/48_Hrs.
speed;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Speed_metal
matrix;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/The_Matrix_(franchise)
silence of the lambs;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/The_Silence_of_the_Lambs
dirty dancing;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Dirty_Dancing
terminator;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Terminator_(franchise)
star wars;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Star_Wars
schindler‘s list;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Schindler's_List
golden eye;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Golden_eye-grass
tomorrow never dies;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Tomorrow_Never_Dies
green mile;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Mile_End
se7en;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Se7en
dances with wolves;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Dances_with_Wolves
titanic;30;Female;Master's degree;France;62;http://dbpedia.org/resource/RMS_Titanic
lion king;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Essex
star wars episode 1;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Star_Wars
pulp fiction;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Pulp_magazine
twin peaks;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/List_of_Twin_Peaks_characters
memento;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Memento
nan;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Hunan
rambo;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Rambo_(franchise)
saw;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/List_of_Saw_characters
texas chain saw massager;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/The_Texas_Chain_Saw_Massacre
bad boys;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Detroit_Pistons
nan;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Hunan
et;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Saône-et-Loire
