birds;p_age;p_gender;p_education;p_country;p_id;uri
sparrow;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Sparrow_Records
eagle;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/EAGLE_(program)
tit;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Crested_shriketit
woodpecker;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Woody_Woodpecker
robin;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Robin_Gibb
parrot;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Grey_parrot
eagle;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/EAGLE_(program)
pelican;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Louisiana
raven;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/That's_So_Raven
eagle;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/EAGLE_(program)
eagle;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/EAGLE_(program)
cardinal;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Stanford_Cardinal
dove;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
eagle;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/EAGLE_(program)
goose;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Grumman_G-21_Goose
penguin;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Penguin_Books
eagle;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/EAGLE_(program)
parakeet;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Rose-ringed_parakeet
falcon;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Atlanta_Falcons
sparrow;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Sparrow_Records
falcon;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Atlanta_Falcons
hummingbird;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Boeing_A160_Hummingbird
crow;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Sheryl_Crow
chicken;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Chicken
nightingale;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Florence_Nightingale
hummingbird;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Boeing_A160_Hummingbird
eagle;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/EAGLE_(program)
sparrow;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Sparrow_Records
dove;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/List_of_Dove_Medical_Press_academic_journals
sparrow;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Sparrow_Records
seagull;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Curtiss_SOC_Seagull
blue tit;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/African_blue_tit
eagle;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/EAGLE_(program)
sparrow;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Sparrow_Records
colibri;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Brügger_Colibri
stork;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Saddle-billed_stork
chicken;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Chicken
woodpecker;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Woody_Woodpecker
cuckoo;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Little_bronze_cuckoo
crow;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Sheryl_Crow
red kite;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Red_kite
brown throat;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Brown-throated_parakeet
blackbird;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
blackbird;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
eagle;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/EAGLE_(program)
sparrow;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Sparrow_Records
eagle;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/EAGLE_(program)
vulture;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Rüppell's_vulture
crow;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Sheryl_Crow
blackbird;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
eagle;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/EAGLE_(program)
vulture;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Rüppell's_vulture
ara;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/K.A.A._Gent
mockingbird;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/To_Kill_a_Mockingbird
robin;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Robin_Gibb
tit;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Crested_shriketit
blackbird;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
hummingbird;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Boeing_A160_Hummingbird
blackbird;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
sparrow;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Sparrow_Records
fink;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Fink_(singer)
eagle;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/EAGLE_(program)
robin;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Robin_Gibb
parrot;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Grey_parrot
owl;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Sheffield_Wednesday_F.C.
duck;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Preston_North_End_F.C.
swan;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Swan_Hunter
eagle;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/EAGLE_(program)
chicken;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Chicken
vulture;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Rüppell's_vulture
eagle;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/EAGLE_(program)
chicken;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Chicken
penguin;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Penguin_Books
swan;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Swan_Hunter
eagle;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/EAGLE_(program)
hummingbird;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Boeing_A160_Hummingbird
crane;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Robert_K._Crane
pigeon;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Pheasant_pigeon
eagle;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/EAGLE_(program)
sparrow;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Sparrow_Records
woodpecker;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Woody_Woodpecker
sparrow;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Sparrow_Records
blackbird;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
tit;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Crested_shriketit
swallow;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Tokyo_Yakult_Swallows
gull;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Gull
;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Hunan
parakeet;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Rose-ringed_parakeet
robin;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Robin_Gibb
duck;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Preston_North_End_F.C.
blackbird;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Blackburn_Rovers_F.C.
robin;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Robin_Gibb
blue tit;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/African_blue_tit
parrot;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Grey_parrot
nightingale;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Florence_Nightingale
crow;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Sheryl_Crow
sparrow;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Sparrow_Records
crane;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Robert_K._Crane
eagle;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/EAGLE_(program)
eagle;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/EAGLE_(program)
mockingbird;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/To_Kill_a_Mockingbird
raven;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/That's_So_Raven
sparrow;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Sparrow_Records
