european_landmarks;p_age;p_gender;p_education;p_country;p_id;uri
manneken pis;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Manneken_Pis
big ben;23;Female;Master's degree;england;101;http://dbpedia.org/resource/V8_engine
eiffel tower;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Eiffel_Tower
tower bridge;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Tower_Bridge
brandenburg gate;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Brandenburg_Gate
atomium;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Atomium_-_European_Institute_for_Science,_Media_and_Democracy
glendalough;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Diocese_of_Dublin_and_Glendalough
bray;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Bray_Wanderers_F.C.
kilkenny;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Kilkenny
big ben;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/V8_engine
eiffel tower;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Eiffel_Tower
colosseum;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Colosseum
sagrada familia;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/A.D._Sagrada_Familia
bradenburg gate;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Brandenburg_Gate
knossos;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Knossos
cologne cathedral;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Cologne_Cathedral
tower bridge;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Tower_Bridge
palace of versailles;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Palace_of_Versailles
louvre;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Louvre
alhambra;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Alhambra,_California
prague old town;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Old_Town_(Prague)
