european_landmarks;p_age;p_gender;p_education;p_country;p_id;uri
charles bridge;26;Male;Bachelor's degree;germany;23;http://dbpedia.org/resource/Charles_Bridge
eiffel tower;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Eiffel_Tower
london eye;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/London_Eye
cologne cathedral;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Cologne_Cathedral
eiffel tower;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Eiffel_Tower
big ben;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/V8_engine
sagrada familia;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/A.D._Sagrada_Familia
heidelberg castle;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Heidelberg_Castle
neuschwanstein castle;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Neuschwanstein_Castle
brandenburg gate;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Colosseum
eiffel tower;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Eiffel_Tower
heidelberg castle;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Heidelberg_Castle
louvre;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Louvre
eiffel tower;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Colosseum
eiffel tower;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Eiffel_Tower
parthenon;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Parthenon
colosseum;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Colosseum
colosseum;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Colosseum
brandenburg gate;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Brandenburg_Gate
london bridge;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/London_Bridge
eiffel tower;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Eiffel_Tower
leaning tower of pisa;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
sagrada familia;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/A.D._Sagrada_Familia
brandenburg gate;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Brandenburg_Gate
battle of nations memorial;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Midway_Atoll
kaiser wilhelm monument;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Emperor_William_monuments
eiffel tower;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Brandenburg_Gate
sagrada familia;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/A.D._Sagrada_Familia
eiffel tower;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Eiffel_Tower
london bridge;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/London_Bridge
brandenburg gate;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Eiffel_Tower
louvre;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Louvre
colosseum;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Colosseum
eiffel tower;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Brandenburg_Gate
colosseum;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Colosseum
eiffel tower;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Eiffel_Tower
colosseum;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Colosseum
neuschwanstein castle;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Neuschwanstein_Castle
neuschwanstein castle;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Neuschwanstein_Castle
eiffel tower;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Eiffel_Tower
charles bridge;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Charles_Bridge
brandenburg gate;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Eiffel_Tower
big ben;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/V8_engine
brandenburg gate;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Eiffel_Tower
big ben;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/V8_engine
eiffel tower;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Brandenburg_Gate
buckingham palace;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Buckingham_Palace
black forrest;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Black_Forest
colosseum;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Colosseum
provence;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Provence-Alpes-Côte_d'Azur
heidelberg castle;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Heidelberg_Castle
eiffel tower;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Eiffel_Tower
saint peter's basilica;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/St._Peter's_Basilica
brandenburg gate;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Eiffel_Tower
cologne cathedral;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Cologne_Cathedral
eiffel tower;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Eiffel_Tower
brandenburg gate;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Brandenburg_Gate
london eye;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/London_Eye
brandenburg gate;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Brandenburg_Gate
big ben;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/V8_engine
colosseum;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Colosseum
eiffel tower;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Eiffel_Tower
berlin wall;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Berlin_Wall
leaning tower of pisa;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Leaning_Tower_of_Pisa
eiffel tower;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Eiffel_Tower
neuschwanstein castle;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Neuschwanstein_Castle
sagrada familia;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/A.D._Sagrada_Familia
eiffel tower;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Eiffel_Tower
colosseum;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Colosseum
big ben;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/V8_engine
brandenburg gate;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Brandenburg_Gate
eiffel tower;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Eiffel_Tower
the little mermaid;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/List_of_The_Little_Mermaid_characters
eiffel tower;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Eiffel_Tower
palace of versailles;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Palace_of_Versailles
eiffel tower;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Eiffel_Tower
reiks museum;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Reiss_Engelhorn_Museum
berlin wall;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Berlin_Wall
eiffel tower;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Eiffel_Tower
cologne cathedral;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Cologne_Cathedral
eiffel tower;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Eiffel_Tower
tower bridge;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Tower_Bridge
palace of versailles;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Palace_of_Versailles
bellevue palace;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Bellevue_Palace
reichstag building;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Reichstag_building
hagia sophia;29;Prefer not to say;Master's degree;germany;57;http://dbpedia.org/resource/Hagia_Sophia
eiffel tower;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Eiffel_Tower
tower bridge;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/Tower_Bridge
big ben;31;Male;Master's degree;germany;58;http://dbpedia.org/resource/V8_engine
rhine falls;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Rhine_Falls
eiffel tower;23;Male;High school degree or equivalent;germany;59;http://dbpedia.org/resource/Eiffel_Tower
