uri;continents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Australia_(continent);australia;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Africa;africa;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Europe;europe;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Asia;asia;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Africa;africa;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Asia;asia;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/North_America;north america;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Europe;europe;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Africa;africa;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Asia;asia;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Asia;asia;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Europe;europe;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/North_America;north america;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Europe;europe;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Africa;africa;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Antarctica;antarctica;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Asia;asia;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Americas;america;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Europe;europe;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Asia;asia;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Europe;europe;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Asia;asia;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Africa;africa;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Europe;europe;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Asia;asia;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/North_America;north america;31;Male;Bachelor's degree;germany;40
http://dbpedia.org/resource/Africa;africa;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/South_America;south america;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/North_America;north america;25;Female;Bachelor's degree;germany;41
http://dbpedia.org/resource/Asia;asia;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Europe;europe;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Australia_(continent);australia;28;Female;Bachelor's degree;germany;42
http://dbpedia.org/resource/Europe;europe;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/North_America;north america;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Asia;asia;37;Female;Master's degree;germany;43
http://dbpedia.org/resource/Asia;asia;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Africa;africa;50;Female;High school degree or equivalent;germany;44
http://dbpedia.org/resource/Europe;europe;50;Female;High school degree or equivalent;germany;44
