"fur","name"
"http://dbpedia.org/resource/École_secondaire_publique_Louis-Riel","École secondaire publique Louis-Riel"
"http://dbpedia.org/resource/Ōbara_Station","Ōbara Station"
"http://dbpedia.org/resource/Ōmachi_Station_(Hiroshima)","Ōmachi Station (Hiroshima)"
"http://dbpedia.org/resource/Ōzuka_Station","Ōzuka Station"
"http://dbpedia.org/resource/Tire_changer","Tire changer"
"http://dbpedia.org/resource/Enrico_Forlanini","Enrico Forlanini"
"http://dbpedia.org/resource/Hot_air_balloon","Hot air balloon"
"http://dbpedia.org/resource/Joseph_A._Bailly","Joseph A. Bailly"
"http://dbpedia.org/resource/Tire_bead","Tire bead"
"http://dbpedia.org/resource/William_F._Assmann","William F. Assmann"
"http://dbpedia.org/resource/Kate_Board","Kate Board"
"http://dbpedia.org/resource/Lug_wrench","Lug wrench"
"http://dbpedia.org/resource/TCOM_Blue_Devil","TCOM Blue Devil"
"http://dbpedia.org/resource/Tire","Tire"
"http://dbpedia.org/resource/Monocoque","Monocoque"
"http://dbpedia.org/resource/Tire-pressure_monitoring_system","Tire-pressure monitoring system"
"http://dbpedia.org/resource/Eliphalet_Chapin","Eliphalet Chapin"
"http://dbpedia.org/resource/Evert_Sodergren","Evert Sodergren"
"http://dbpedia.org/resource/Harvey_Ellis","Harvey Ellis"
"http://dbpedia.org/resource/Pillow_fight_flash_mob","Pillow fight flash mob"
"http://dbpedia.org/resource/James_Krenov","James Krenov"
"http://dbpedia.org/resource/Lamination","Lamination"
"http://dbpedia.org/resource/Lech_(airship)","Lech (airship)"
"http://dbpedia.org/resource/Lifting_gas","Lifting gas"
"http://dbpedia.org/resource/List_of_Schütte-Lanz_airships","List of Schütte-Lanz airships"
"http://dbpedia.org/resource/Low_rolling_resistance_tire","Low rolling resistance tire"
"http://dbpedia.org/resource/Theodor_Kober","Theodor Kober"
"http://dbpedia.org/resource/Zachary_Lansdowne","Zachary Lansdowne"
"http://dbpedia.org/resource/Joseph_Spiess","Joseph Spiess"
"http://dbpedia.org/resource/Racing_slick","Racing slick"
"http://dbpedia.org/resource/Recaro","Recaro"
"http://dbpedia.org/resource/Richard_Schultz","Richard Schultz"
"http://dbpedia.org/resource/Schrader_valve","Schrader valve"
"http://dbpedia.org/resource/Siping_(rubber)","Siping (rubber)"
"http://dbpedia.org/resource/SkyHook_JHL-40","SkyHook JHL-40"
