continents;p_age;p_gender;p_education;p_country;p_id;uri
asia;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Asia
europe;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Europe
africa;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Africa
asia;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Asia
africa;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Africa
north america;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/North_America
antarctica;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Antarctica
africa;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Africa
europe;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Europe
australia;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Australia_(continent)
europe;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Europe
africa;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Africa
australia;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Australia_(continent)
africa;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Africa
europe;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Europe
asia;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Asia
africa;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Africa
asia;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Asia
north america;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/North_America
europe;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Europe
africa;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Africa
asia;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Asia
asia;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Asia
europe;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Europe
north america;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/North_America
europe;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Europe
africa;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Africa
antarctica;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Antarctica
asia;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Asia
america;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/North_America
europe;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Europe
asia;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Asia
europe;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Europe
asia;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Asia
africa;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Africa
europe;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Europe
asia;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Asia
north america;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/North_America
africa;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Africa
south america;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/South_America
north america;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/North_America
asia;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Asia
europe;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Europe
australia;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Australia_(continent)
europe;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Europe
north america;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/North_America
asia;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Asia
asia;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Asia
africa;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Africa
europe;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Europe
europe;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Europe
south america;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/South_America
asia;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Asia
europe;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Europe
africa;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Africa
south america;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/South_America
europe;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Europe
asia;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Asia
africa;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/Africa
asia;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Asia
europe;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Europe
africa;23;Female;Bachelor's degree;germany;48;http://dbpedia.org/resource/Africa
europe;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Europe
asia;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Asia
africa;36;Male;Bachelor's degree;india;49;http://dbpedia.org/resource/Africa
europe;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Europe
asia;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Asia
africa;28;Female;Master's degree;romania;50;http://dbpedia.org/resource/Africa
europe;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Europe
asia;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Asia
africa;19;Female;High school degree or equivalent;germany;51;http://dbpedia.org/resource/Africa
europe;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Europe
asia;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Asia
africa;19;Female;High school degree or equivalent;germany;52;http://dbpedia.org/resource/Africa
asia;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Asia
europe;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Europe
africa;25;Male;Bachelor's degree;germany;53;http://dbpedia.org/resource/Africa
europe;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Europe
north america;34;Female;Master's degree;france;54;http://dbpedia.org/resource/North_America
asia;34;Female;Master's degree;france;54;http://dbpedia.org/resource/Asia
australia;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Australia_(continent)
europe;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/Europe
south america;20;Female;High school degree or equivalent;germany;55;http://dbpedia.org/resource/South_America
asia;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Asia
europe;26;Female;Master's degree;france;56;http://dbpedia.org/resource/Europe
