authors;p_age;p_gender;p_education;p_country;p_id
henningmankel;50;Female;High school degree or equivalent;Germany;44
dianagabaldon;50;Female;High school degree or equivalent;Germany;44
hermannhesse;28;Female;High school degree or equivalent;Germany;45
harukimurakami;28;Female;High school degree or equivalent;Germany;45
sallyrooney;28;Female;High school degree or equivalent;Germany;45
stephenking;31;Male;Bachelor's degree;Germany;46
tolkien;31;Male;Bachelor's degree;Germany;46
rowling;31;Male;Bachelor's degree;Germany;46
goethe;21;Female;High school degree or equivalent;Germany;47
michaelende;21;Female;High school degree or equivalent;Germany;47
schiller;21;Female;High school degree or equivalent;Germany;47
nan;23;Female;Bachelor's degree;Germany;48
jkrowling;36;Male;Bachelor's degree;India;49
anitanair;36;Male;Bachelor's degree;India;49
jonathanswift;36;Male;Bachelor's degree;India;49
janeaustin;28;Female;Master's degree;Romania;50
stephenking;28;Female;Master's degree;Romania;50
georgeorwell;28;Female;Master's degree;Romania;50
johngreen;19;Female;High school degree or equivalent;Germany;51
janeausten;19;Female;High school degree or equivalent;Germany;51
j.k.rowling;19;Female;High school degree or equivalent;Germany;51
leotolstoi;19;Female;High school degree or equivalent;Germany;52
janeausten;19;Female;High school degree or equivalent;Germany;52
williamshakespeare;19;Female;High school degree or equivalent;Germany;52
nan;25;Male;Bachelor's degree;Germany;53
tamorapierce;34;Female;Master's degree;France;54
moliere;34;Female;Master's degree;France;54
patricksuskind;34;Female;Master's degree;France;54
neleneuhaus;20;Female;High school degree or equivalent;Germany;55
luisaneubauer;20;Female;High school degree or equivalent;Germany;55
j.k.rowling;20;Female;High school degree or equivalent;Germany;55
jkrowling;26;Female;Master's degree;France;56
balzac;26;Female;Master's degree;France;56
zola;26;Female;Master's degree;France;56
hitler;29;Prefer not to say;Master's degree;Germany;57
newton;29;Prefer not to say;Master's degree;Germany;57
hawking;29;Prefer not to say;Master's degree;Germany;57
jordanpeterson;31;Male;Master's degree;Germany;58
fjodormichailowitschdostojewski;31;Male;Master's degree;Germany;58
helmutschmidt;31;Male;Master's degree;Germany;58
sapkowski;23;Male;High school degree or equivalent;Germany;59
tolstoy;23;Male;High school degree or equivalent;Germany;59
suter;23;Male;High school degree or equivalent;Germany;59
sebastianfitzek;21;Female;High school degree or equivalent;Germany;60
astridlindgren;21;Female;High school degree or equivalent;Germany;60
johnstrelecky;21;Female;High school degree or equivalent;Germany;60
j.r.r.tolkien;54;Male;High school degree or equivalent;Germany;61
ritafalk;54;Male;High school degree or equivalent;Germany;61
rötgerfeldmann;54;Male;High school degree or equivalent;Germany;61
jkrowling;30;Female;Master's degree;France;62
victorhugo;30;Female;Master's degree;France;62
honorédebalzac;30;Female;Master's degree;France;62
kafka;24;Male;Bachelor's degree;Germany;63
mann;24;Male;Bachelor's degree;Germany;63
fitzgerald;24;Male;Bachelor's degree;Germany;63
jk.rowling;17;Male;Less than a high school degree;Germany;64
karlmarx;17;Male;Less than a high school degree;Germany;64
jrrtolkin;17;Male;Less than a high school degree;Germany;64
kenfollet;25;Female;High school degree or equivalent;Germany;65
stiglarsson;25;Female;High school degree or equivalent;Germany;65
sionbeckett;25;Female;High school degree or equivalent;Germany;65
billgates;16;Male;Less than a high school degree;Germany;66
barackobama;16;Male;Less than a high school degree;Germany;66
j.k.rowling;21;Male;High school degree or equivalent;Germany;67
marx;21;Male;High school degree or equivalent;Germany;67
kafka;21;Male;High school degree or equivalent;Germany;67
stevenking;0;Prefer not to say;NaN;NaN;68
frankschätzing;0;Prefer not to say;NaN;NaN;68
richarddavidprecht;0;Prefer not to say;NaN;NaN;68
virginiegrimaldi;24;Female;Master's degree;France;69
victorhugo;24;Female;Master's degree;France;69
julesvernes;24;Female;Master's degree;France;69
balzac;26;Female;Master's degree;France;70
stendhal;26;Female;Master's degree;France;70
hugo;26;Female;Master's degree;France;70
