dax_companies;p_age;p_gender;p_education;p_country;p_id
bmw;23;Female;Bachelor's degree;Germany;48
daimler;23;Female;Bachelor's degree;Germany;48
apple;36;Male;Bachelor's degree;India;49
google;36;Male;Bachelor's degree;India;49
volkswagen;36;Male;Bachelor's degree;India;49
mercedesbenzgroup;28;Female;Master's degree;Romania;50
basf;28;Female;Master's degree;Romania;50
deutschebank;28;Female;Master's degree;Romania;50
volkswagen;19;Female;High school degree or equivalent;Germany;51
daimler;19;Female;High school degree or equivalent;Germany;51
siemens;19;Female;High school degree or equivalent;Germany;51
vw;19;Female;High school degree or equivalent;Germany;52
bayer;19;Female;High school degree or equivalent;Germany;52
hellofresh;19;Female;High school degree or equivalent;Germany;52
nan;25;Male;Bachelor's degree;Germany;53
nan;34;Female;Master's degree;France;54
nan;20;Female;High school degree or equivalent;Germany;55
nan;26;Female;Master's degree;France;56
allianz;29;Prefer not to say;Master's degree;Germany;57
bmw;29;Prefer not to say;Master's degree;Germany;57
vw;29;Prefer not to say;Master's degree;Germany;57
sap;31;Male;Master's degree;Germany;58
basf;31;Male;Master's degree;Germany;58
volkswagen;31;Male;Master's degree;Germany;58
vw;23;Male;High school degree or equivalent;Germany;59
basf;23;Male;High school degree or equivalent;Germany;59
sap;23;Male;High school degree or equivalent;Germany;59
sap;21;Female;High school degree or equivalent;Germany;60
beiersdorf;21;Female;High school degree or equivalent;Germany;60
deutschepost;21;Female;High school degree or equivalent;Germany;60
basf;54;Male;High school degree or equivalent;Germany;61
sap;54;Male;High school degree or equivalent;Germany;61
bmw;54;Male;High school degree or equivalent;Germany;61
bmw;30;Female;Master's degree;France;62
porsche;30;Female;Master's degree;France;62
audi;30;Female;Master's degree;France;62
sap;24;Male;Bachelor's degree;Germany;63
deutschebank;24;Male;Bachelor's degree;Germany;63
biontech;24;Male;Bachelor's degree;Germany;63
daimler;17;Male;Less than a high school degree;Germany;64
sap;17;Male;Less than a high school degree;Germany;64
hellofresh;17;Male;Less than a high school degree;Germany;64
