us_tech_companies;p_age;p_gender;p_education;p_country;p_id
google;31;Male;Bachelor's degree;Germany;46
apple;31;Male;Bachelor's degree;Germany;46
apple;21;Female;High school degree or equivalent;Germany;47
microsoft;21;Female;High school degree or equivalent;Germany;47
facebook;21;Female;High school degree or equivalent;Germany;47
apple;23;Female;Bachelor's degree;Germany;48
amazon;23;Female;Bachelor's degree;Germany;48
microsoft;23;Female;Bachelor's degree;Germany;48
apple;36;Male;Bachelor's degree;India;49
google;36;Male;Bachelor's degree;India;49
ibm;36;Male;Bachelor's degree;India;49
nvidia;28;Female;Master's degree;Romania;50
alphabet;28;Female;Master's degree;Romania;50
microsoft;28;Female;Master's degree;Romania;50
apple;19;Female;High school degree or equivalent;Germany;51
microsoft;19;Female;High school degree or equivalent;Germany;51
intel;19;Female;High school degree or equivalent;Germany;51
apple;19;Female;High school degree or equivalent;Germany;52
google;19;Female;High school degree or equivalent;Germany;52
meta;19;Female;High school degree or equivalent;Germany;52
google;25;Male;Bachelor's degree;Germany;53
apple;25;Male;Bachelor's degree;Germany;53
samsung;25;Male;Bachelor's degree;Germany;53
alphabet;34;Female;Master's degree;France;54
microsoft;34;Female;Master's degree;France;54
adobe;34;Female;Master's degree;France;54
meta;20;Female;High school degree or equivalent;Germany;55
google;20;Female;High school degree or equivalent;Germany;55
apple;20;Female;High school degree or equivalent;Germany;55
microsoft;26;Female;Master's degree;France;56
google;26;Female;Master's degree;France;56
apple;26;Female;Master's degree;France;56
apple;29;Prefer not to say;Master's degree;Germany;57
alphabet;29;Prefer not to say;Master's degree;Germany;57
amd;29;Prefer not to say;Master's degree;Germany;57
apple;31;Male;Master's degree;Germany;58
meta;31;Male;Master's degree;Germany;58
alphabet;31;Male;Master's degree;Germany;58
microsoft;23;Male;High school degree or equivalent;Germany;59
apple;23;Male;High school degree or equivalent;Germany;59
meta;23;Male;High school degree or equivalent;Germany;59
apple;21;Female;High school degree or equivalent;Germany;60
google;21;Female;High school degree or equivalent;Germany;60
meta;21;Female;High school degree or equivalent;Germany;60
apple;54;Male;High school degree or equivalent;Germany;61
americanexpress;54;Male;High school degree or equivalent;Germany;61
deltaairlines;54;Male;High school degree or equivalent;Germany;61
apple;30;Female;Master's degree;France;62
google;30;Female;Master's degree;France;62
facebook;30;Female;Master's degree;France;62
nvidia;24;Male;Bachelor's degree;Germany;63
apple;24;Male;Bachelor's degree;Germany;63
microsoft;24;Male;Bachelor's degree;Germany;63
apple;17;Male;Less than a high school degree;Germany;64
facebook;17;Male;Less than a high school degree;Germany;64
microsoft;17;Male;Less than a high school degree;Germany;64
google;25;Female;High school degree or equivalent;Germany;65
apple;25;Female;High school degree or equivalent;Germany;65
microsoft;25;Female;High school degree or equivalent;Germany;65
google;16;Male;Less than a high school degree;Germany;66
ibm;16;Male;Less than a high school degree;Germany;66
microsoft;16;Male;Less than a high school degree;Germany;66
apple;21;Male;High school degree or equivalent;Germany;67
google;21;Male;High school degree or equivalent;Germany;67
facebook;21;Male;High school degree or equivalent;Germany;67
nan;0;Prefer not to say;NaN;NaN;68
microsoft;24;Female;Master's degree;France;69
facebook;24;Female;Master's degree;France;69
google;24;Female;Master's degree;France;69
apple;26;Female;Master's degree;France;70
google;26;Female;Master's degree;France;70
microsoft;26;Female;Master's degree;France;70
apple;34;Female;Master's degree;Germany;71
alphabet;34;Female;Master's degree;Germany;71
microsoft;34;Female;Master's degree;Germany;71
google;54;Male;Less than a high school degree;Germany;72
microsoft;54;Male;Less than a high school degree;Germany;72
oracle;54;Male;Less than a high school degree;Germany;72
apple;23;Male;Bachelor's degree;Germany;73
microsoft;23;Male;Bachelor's degree;Germany;73
amazon;23;Male;Bachelor's degree;Germany;73
meta;27;Male;Master's degree;Germany;74
apple;27;Male;Master's degree;Germany;74
