us_presidents;p_age;p_gender;p_education;p_country;p_id
barackobama;50;Female;High school degree or equivalent;Germany;44
joebiden;50;Female;High school degree or equivalent;Germany;44
donaldtrump;28;Female;High school degree or equivalent;Germany;45
barackobama;28;Female;High school degree or equivalent;Germany;45
georgew.bush;28;Female;High school degree or equivalent;Germany;45
bushsr;31;Male;Bachelor's degree;Germany;46
bushjr;31;Male;Bachelor's degree;Germany;46
obama;31;Male;Bachelor's degree;Germany;46
obama;21;Female;High school degree or equivalent;Germany;47
trump;21;Female;High school degree or equivalent;Germany;47
biden;21;Female;High school degree or equivalent;Germany;47
obama;23;Female;Bachelor's degree;Germany;48
kennedy;23;Female;Bachelor's degree;Germany;48
trump;23;Female;Bachelor's degree;Germany;48
barakobama;36;Male;Bachelor's degree;India;49
donaldtrump;36;Male;Bachelor's degree;India;49
johnfkennedy;36;Male;Bachelor's degree;India;49
barackobama;28;Female;Master's degree;Romania;50
joebiden;28;Female;Master's degree;Romania;50
franklinroosevelt;28;Female;Master's degree;Romania;50
biden;19;Female;High school degree or equivalent;Germany;51
trump;19;Female;High school degree or equivalent;Germany;51
obama;19;Female;High school degree or equivalent;Germany;51
joebiden;19;Female;High school degree or equivalent;Germany;52
barackobama;19;Female;High school degree or equivalent;Germany;52
donaldtrump;19;Female;High school degree or equivalent;Germany;52
biden;25;Male;Bachelor's degree;Germany;53
trump;25;Male;Bachelor's degree;Germany;53
obama;25;Male;Bachelor's degree;Germany;53
obama;34;Female;Master's degree;France;54
washington;34;Female;Master's degree;France;54
carter;34;Female;Master's degree;France;54
biden;20;Female;High school degree or equivalent;Germany;55
obama;20;Female;High school degree or equivalent;Germany;55
bush;20;Female;High school degree or equivalent;Germany;55
bush;26;Female;Master's degree;France;56
biden;26;Female;Master's degree;France;56
obama;26;Female;Master's degree;France;56
eisenhower;29;Prefer not to say;Master's degree;Germany;57
roosevelt;29;Prefer not to say;Master's degree;Germany;57
clinton;29;Prefer not to say;Master's degree;Germany;57
woodrowwilson;31;Male;Master's degree;Germany;58
donaldtrump;31;Male;Master's degree;Germany;58
geraldford;31;Male;Master's degree;Germany;58
bush;23;Male;High school degree or equivalent;Germany;59
clinton;23;Male;High school degree or equivalent;Germany;59
obama;23;Male;High school degree or equivalent;Germany;59
barackobama;21;Female;High school degree or equivalent;Germany;60
joebiden;21;Female;High school degree or equivalent;Germany;60
donaldtrump;21;Female;High school degree or equivalent;Germany;60
j.f.kennedy;54;Male;High school degree or equivalent;Germany;61
franklind.roosevelt;54;Male;High school degree or equivalent;Germany;61
jimmycarter;54;Male;High school degree or equivalent;Germany;61
biden;30;Female;Master's degree;France;62
trump;30;Female;Master's degree;France;62
obama;30;Female;Master's degree;France;62
trump;24;Male;Bachelor's degree;Germany;63
obama;24;Male;Bachelor's degree;Germany;63
kennedy;24;Male;Bachelor's degree;Germany;63
donaldtrump;17;Male;Less than a high school degree;Germany;64
obama;17;Male;Less than a high school degree;Germany;64
rooselvelt;17;Male;Less than a high school degree;Germany;64
klinton;25;Female;High school degree or equivalent;Germany;65
bush;25;Female;High school degree or equivalent;Germany;65
obama;25;Female;High school degree or equivalent;Germany;65
georgew.bush;16;Male;Less than a high school degree;Germany;66
joebiden;16;Male;Less than a high school degree;Germany;66
