politicians;p_age;p_gender;p_education;p_country;p_id
barackobama;28;Female;Bachelor's degree;Germany;42
schröder;37;Female;Master's degree;Germany;43
kohl;37;Female;Master's degree;Germany;43
merkel;37;Female;Master's degree;Germany;43
angelamerkel;50;Female;High school degree or equivalent;Germany;44
hillaryclinton;50;Female;High school degree or equivalent;Germany;44
wolodymyrselenskj;50;Female;High school degree or equivalent;Germany;44
gerhardschröder;28;Female;High school degree or equivalent;Germany;45
emanuelmacron;28;Female;High school degree or equivalent;Germany;45
annalenabaerbock;28;Female;High school degree or equivalent;Germany;45
angelamerkel;31;Male;Bachelor's degree;Germany;46
helmutkohl;31;Male;Bachelor's degree;Germany;46
helmutschmidt;31;Male;Bachelor's degree;Germany;46
lindner;21;Female;High school degree or equivalent;Germany;47
scholz;21;Female;High school degree or equivalent;Germany;47
baerbock;21;Female;High school degree or equivalent;Germany;47
merkel;23;Female;Bachelor's degree;Germany;48
baerbock;23;Female;Bachelor's degree;Germany;48
scholz;23;Female;Bachelor's degree;Germany;48
angelamerkel;36;Male;Bachelor's degree;India;49
narendramodi;36;Male;Bachelor's degree;India;49
barackobama;36;Male;Bachelor's degree;India;49
angelamerkel;28;Female;Master's degree;Romania;50
barackobama;28;Female;Master's degree;Romania;50
emmanuelmacron;28;Female;Master's degree;Romania;50
wladimirputin;19;Female;High school degree or equivalent;Germany;51
angelamerkel;19;Female;High school degree or equivalent;Germany;51
sahrawagenknecht;19;Female;High school degree or equivalent;Germany;51
vladimirputin;19;Female;High school degree or equivalent;Germany;52
angelamerkel;19;Female;High school degree or equivalent;Germany;52
olafscholz;19;Female;High school degree or equivalent;Germany;52
scholz;25;Male;Bachelor's degree;Germany;53
wagenknecht;25;Male;Bachelor's degree;Germany;53
habeck;25;Male;Bachelor's degree;Germany;53
sarkozy;34;Female;Master's degree;France;54
hillaryclinton;34;Female;Master's degree;France;54
sadikhan;34;Female;Master's degree;France;54
merkel;20;Female;High school degree or equivalent;Germany;55
j.f.kennedy;20;Female;High school degree or equivalent;Germany;55
borisjohnson;20;Female;High school degree or equivalent;Germany;55
biden;26;Female;Master's degree;France;56
trump;26;Female;Master's degree;France;56
poutine;26;Female;Master's degree;France;56
eisenhower;29;Prefer not to say;Master's degree;Germany;57
roosevelt;29;Prefer not to say;Master's degree;Germany;57
clinton;29;Prefer not to say;Master's degree;Germany;57
donaldtrump;31;Male;Master's degree;Germany;58
angelamerkel;31;Male;Master's degree;Germany;58
wladimirputin;31;Male;Master's degree;Germany;58
putin;23;Male;High school degree or equivalent;Germany;59
scholz;23;Male;High school degree or equivalent;Germany;59
baerbock;23;Male;High school degree or equivalent;Germany;59
angelamerkel;21;Female;High school degree or equivalent;Germany;60
olafscholz;21;Female;High school degree or equivalent;Germany;60
joebiden;21;Female;High school degree or equivalent;Germany;60
angelamerkel;54;Male;High school degree or equivalent;Germany;61
joebiden;54;Male;High school degree or equivalent;Germany;61
borisjohnson;54;Male;High school degree or equivalent;Germany;61
macron;30;Female;Master's degree;France;62
poutine;30;Female;Master's degree;France;62
biden;30;Female;Master's degree;France;62
mandela;24;Male;Bachelor's degree;Germany;63
merkel;24;Male;Bachelor's degree;Germany;63
brandt;24;Male;Bachelor's degree;Germany;63
olafscholz;17;Male;Less than a high school degree;Germany;64
martinsonneborn;17;Male;Less than a high school degree;Germany;64
martinplum;17;Male;Less than a high school degree;Germany;64
obama;25;Female;High school degree or equivalent;Germany;65
putin;25;Female;High school degree or equivalent;Germany;65
kimjongun;25;Female;High school degree or equivalent;Germany;65
olafscholz;16;Male;Less than a high school degree;Germany;66
joebiden;16;Male;Less than a high school degree;Germany;66
donaldtrump;21;Male;High school degree or equivalent;Germany;67
putin;21;Male;High school degree or equivalent;Germany;67
merkel;0;Prefer not to say;NaN;NaN;68
scholz;0;Prefer not to say;NaN;NaN;68
steinmeier;0;Prefer not to say;NaN;NaN;68
joebiden;24;Female;Master's degree;France;69
nicolassarkozy;24;Female;Master's degree;France;69
valeriepecresse;24;Female;Master's degree;France;69
merkel;26;Female;Master's degree;France;70
biden;26;Female;Master's degree;France;70
macron;26;Female;Master's degree;France;70
angelamerkel;34;Female;Master's degree;Germany;71
barackobama;34;Female;Master's degree;Germany;71
winstonchurchill;34;Female;Master's degree;Germany;71
kohl;54;Male;Less than a high school degree;Germany;72
schröder;54;Male;Less than a high school degree;Germany;72
merkel;54;Male;Less than a high school degree;Germany;72
barackobama;23;Male;Bachelor's degree;Germany;73
olafscholz;23;Male;Bachelor's degree;Germany;73
angelamerkel;23;Male;Bachelor's degree;Germany;73
putin;27;Male;Master's degree;Germany;74
scholz;27;Male;Master's degree;Germany;74
macron;27;Male;Master's degree;Germany;74
angelamerkel;25;Male;Bachelor's degree;Germany;75
olafscholz;25;Male;Bachelor's degree;Germany;75
