music_genres;p_age;p_gender;p_education;p_country;p_id
elektro;31;Male;Bachelor's degree;Germany;46
techno;21;Female;High school degree or equivalent;Germany;47
rap;21;Female;High school degree or equivalent;Germany;47
hiphop;21;Female;High school degree or equivalent;Germany;47
hiphop;23;Female;Bachelor's degree;Germany;48
classic;23;Female;Bachelor's degree;Germany;48
pop;23;Female;Bachelor's degree;Germany;48
classic;36;Male;Bachelor's degree;India;49
rock;36;Male;Bachelor's degree;India;49
jazz;36;Male;Bachelor's degree;India;49
rock;28;Female;Master's degree;Romania;50
pop;28;Female;Master's degree;Romania;50
classic;28;Female;Master's degree;Romania;50
pop;19;Female;High school degree or equivalent;Germany;51
punk;19;Female;High school degree or equivalent;Germany;51
rap;19;Female;High school degree or equivalent;Germany;51
techno;19;Female;High school degree or equivalent;Germany;52
hiphop;19;Female;High school degree or equivalent;Germany;52
klassik;19;Female;High school degree or equivalent;Germany;52
rock;25;Male;Bachelor's degree;Germany;53
classical;25;Male;Bachelor's degree;Germany;53
techno;25;Male;Bachelor's degree;Germany;53
pop;34;Female;Master's degree;France;54
rock;34;Female;Master's degree;France;54
musicals;34;Female;Master's degree;France;54
rock;20;Female;High school degree or equivalent;Germany;55
techno;20;Female;High school degree or equivalent;Germany;55
pop;20;Female;High school degree or equivalent;Germany;55
rap;26;Female;Master's degree;France;56
pop;26;Female;Master's degree;France;56
techno;26;Female;Master's degree;France;56
rock;29;Prefer not to say;Master's degree;Germany;57
pop;29;Prefer not to say;Master's degree;Germany;57
jazz;29;Prefer not to say;Master's degree;Germany;57
rock;31;Male;Master's degree;Germany;58
pop;31;Male;Master's degree;Germany;58
rap;31;Male;Master's degree;Germany;58
rock;23;Male;High school degree or equivalent;Germany;59
classical;23;Male;High school degree or equivalent;Germany;59
pop;23;Male;High school degree or equivalent;Germany;59
pop;21;Female;High school degree or equivalent;Germany;60
techno;21;Female;High school degree or equivalent;Germany;60
rock;21;Female;High school degree or equivalent;Germany;60
heavymetal;54;Male;High school degree or equivalent;Germany;61
punkrock;54;Male;High school degree or equivalent;Germany;61
blues;54;Male;High school degree or equivalent;Germany;61
pop;30;Female;Master's degree;France;62
rock;30;Female;Master's degree;France;62
techno;30;Female;Master's degree;France;62
hiphop;24;Male;Bachelor's degree;Germany;63
rock;24;Male;Bachelor's degree;Germany;63
pop;24;Male;Bachelor's degree;Germany;63
rap;17;Male;Less than a high school degree;Germany;64
deutschrap;17;Male;Less than a high school degree;Germany;64
americanrap;17;Male;Less than a high school degree;Germany;64
rap;25;Female;High school degree or equivalent;Germany;65
pop;25;Female;High school degree or equivalent;Germany;65
jazz;25;Female;High school degree or equivalent;Germany;65
hiphop;16;Male;Less than a high school degree;Germany;66
classic;16;Male;Less than a high school degree;Germany;66
rock;16;Male;Less than a high school degree;Germany;66
rock;21;Male;High school degree or equivalent;Germany;67
pop;21;Male;High school degree or equivalent;Germany;67
hiphop;21;Male;High school degree or equivalent;Germany;67
classic;0;Prefer not to say;NaN;NaN;68
rock;0;Prefer not to say;NaN;NaN;68
heavymetal;0;Prefer not to say;NaN;NaN;68
rap;24;Female;Master's degree;France;69
soul;24;Female;Master's degree;France;69
jazz;24;Female;Master's degree;France;69
country;26;Female;Master's degree;France;70
rock;26;Female;Master's degree;France;70
hiphop;26;Female;Master's degree;France;70
rock;34;Female;Master's degree;Germany;71
pop;34;Female;Master's degree;Germany;71
classic;34;Female;Master's degree;Germany;71
punk;54;Male;Less than a high school degree;Germany;72
rock;54;Male;Less than a high school degree;Germany;72
disco;54;Male;Less than a high school degree;Germany;72
rap;23;Male;Bachelor's degree;Germany;73
pop;23;Male;Bachelor's degree;Germany;73
techno;23;Male;Bachelor's degree;Germany;73
rap;27;Male;Master's degree;Germany;74
classic;27;Male;Master's degree;Germany;74
schlager;27;Male;Master's degree;Germany;74
rock;25;Male;Bachelor's degree;Germany;75
punk;25;Male;Bachelor's degree;Germany;75
electro;25;Male;Bachelor's degree;Germany;75
techno;27;Female;Master's degree;Germany;76
rock;27;Female;Master's degree;Germany;76
pop;27;Female;Master's degree;Germany;76
rock;51;Male;High school degree or equivalent;Germany;77
metal;51;Male;High school degree or equivalent;Germany;77
punk;51;Male;High school degree or equivalent;Germany;77
rap;26;Male;High school degree or equivalent;Germany;78
trap;26;Male;High school degree or equivalent;Germany;78
hardstyle;26;Male;High school degree or equivalent;Germany;78
pop;27;Male;Bachelor's degree;Germany;79
techno;27;Male;Bachelor's degree;Germany;79
classicalmusic;27;Male;Bachelor's degree;Germany;79
pop;25;Male;Master's degree;Germany;80
rock;25;Male;Master's degree;Germany;80
rap;25;Male;Master's degree;Germany;80
hiphop;25;Male;Bachelor's degree;Germany;81
jazz;25;Male;Bachelor's degree;Germany;81
indiepop;25;Male;Bachelor's degree;Germany;81
pop;21;Male;High school degree or equivalent;Germany;82
rock;21;Male;High school degree or equivalent;Germany;82
jazz;21;Male;High school degree or equivalent;Germany;82
pop;23;Female;Bachelor's degree;Germany;83
metal;23;Female;Bachelor's degree;Germany;83
edm;23;Female;Bachelor's degree;Germany;83
techno;28;Female;Master's degree;Germany;84
pop;28;Female;Master's degree;Germany;84
rock;28;Female;Master's degree;Germany;84
swing;25;Female;Master's degree;Germany;85
jazz;25;Female;Master's degree;Germany;85
rap;25;Female;Master's degree;Germany;85
punkrock;25;Female;Bachelor's degree;Russia;86
psychedelicrock;25;Female;Bachelor's degree;Russia;86
jazz;25;Female;Bachelor's degree;Russia;86
hardstyle;24;Female;High school degree or equivalent;Germany;87
techno;24;Female;High school degree or equivalent;Germany;87
house;24;Female;High school degree or equivalent;Germany;87
jazz;26;Male;Bachelor's degree;Germany;88
hiphop;26;Male;Bachelor's degree;Germany;88
rock;26;Male;Bachelor's degree;Germany;88
pop;27;Female;Master's degree;Germany;89
rock;27;Female;Master's degree;Germany;89
