actors;p_age;p_gender;p_education;p_country;p_id
charliehunnam;28;Female;Bachelor's degree;Germany;42
christophwaltz;28;Female;Bachelor's degree;Germany;42
ryanreynolds;37;Female;Master's degree;Germany;43
arnoldschwarzenegger;37;Female;Master's degree;Germany;43
liztaylor;37;Female;Master's degree;Germany;43
jacknicolsen;50;Female;High school degree or equivalent;Germany;44
meryelstreep;50;Female;High school degree or equivalent;Germany;44
willsmith;50;Female;High school degree or equivalent;Germany;44
leonardodicaprio;28;Female;High school degree or equivalent;Germany;45
timothèechalamet;28;Female;High school degree or equivalent;Germany;45
juliagarner;28;Female;High school degree or equivalent;Germany;45
johnnydepp;31;Male;Bachelor's degree;Germany;46
andrewgarfield;31;Male;Bachelor's degree;Germany;46
freddiehighmore;31;Male;Bachelor's degree;Germany;46
bradpit;21;Female;High school degree or equivalent;Germany;47
leonardodicaprio;21;Female;High school degree or equivalent;Germany;47
tomcruise;21;Female;High school degree or equivalent;Germany;47
bradpitt;23;Female;Bachelor's degree;Germany;48
blakelively;23;Female;Bachelor's degree;Germany;48
georgecloony;23;Female;Bachelor's degree;Germany;48
robertdowneyjr;36;Male;Bachelor's degree;India;49
scarletjohnson;36;Male;Bachelor's degree;India;49
liamneeson;36;Male;Bachelor's degree;India;49
robertdeniro;28;Female;Master's degree;Romania;50
robertredford;28;Female;Master's degree;Romania;50
alpacino;28;Female;Master's degree;Romania;50
emmawatson;19;Female;High school degree or equivalent;Germany;51
kilianmurphy;19;Female;High school degree or equivalent;Germany;51
cateblanchett;19;Female;High school degree or equivalent;Germany;51
chrisevans;19;Female;High school degree or equivalent;Germany;52
chrishemsworth;19;Female;High school degree or equivalent;Germany;52
chrispine;19;Female;High school degree or equivalent;Germany;52
nan;25;Male;Bachelor's degree;Germany;53
scarletjohansen;34;Female;Master's degree;France;54
rachelweiz;34;Female;Master's degree;France;54
kristenbell;34;Female;Master's degree;France;54
palinarojinski;20;Female;High school degree or equivalent;Germany;55
elyasmbarek;20;Female;High school degree or equivalent;Germany;55
jessicaschwarz;20;Female;High school degree or equivalent;Germany;55
bradpitt;26;Female;Master's degree;France;56
georgeclooney;26;Female;Master's degree;France;56
jenniferaniston;26;Female;Master's degree;France;56
tilschweiger;29;Prefer not to say;Master's degree;Germany;57
christophwalz;29;Prefer not to say;Master's degree;Germany;57
kevinspacey;29;Prefer not to say;Master's degree;Germany;57
liamneeson;31;Male;Master's degree;Germany;58
ewanmcgregor;31;Male;Master's degree;Germany;58
marlonbrando;31;Male;Master's degree;Germany;58
cumberbatch;23;Male;High school degree or equivalent;Germany;59
lewis;23;Male;High school degree or equivalent;Germany;59
schwarzenegger;23;Male;High school degree or equivalent;Germany;59
danielcraig;21;Female;High school degree or equivalent;Germany;60
ellenpompeo;21;Female;High school degree or equivalent;Germany;60
eliasm‘barek;21;Female;High school degree or equivalent;Germany;60
kevincostner;54;Male;High school degree or equivalent;Germany;61
liamneeson;54;Male;High school degree or equivalent;Germany;61
jenniferaniston;54;Male;High school degree or equivalent;Germany;61
bradpitt;30;Female;Master's degree;France;62
leonardodicaprio;30;Female;Master's degree;France;62
tomhanks;30;Female;Master's degree;France;62
