nineties_movies;p_age;p_gender;p_education;p_country;p_id
schindlerslist;36;Male;Bachelor's degree;India;49
starwars;36;Male;Bachelor's degree;India;49
forrestgump;28;Female;Master's degree;Romania;50
pulpfiction;28;Female;Master's degree;Romania;50
schindlerslist;28;Female;Master's degree;Romania;50
prettywoman;19;Female;High school degree or equivalent;Germany;51
jurassicpark;19;Female;High school degree or equivalent;Germany;51
thesilenceofthelambs;19;Female;High school degree or equivalent;Germany;51
prideandprejudice;19;Female;High school degree or equivalent;Germany;52
pulpfriction;19;Female;High school degree or equivalent;Germany;52
backtothefuture;19;Female;High school degree or equivalent;Germany;52
nan;25;Male;Bachelor's degree;Germany;53
clueless;34;Female;Master's degree;France;54
mulan;34;Female;Master's degree;France;54
hook;34;Female;Master's degree;France;54
nan;20;Female;High school degree or equivalent;Germany;55
starwars;26;Female;Master's degree;France;56
pulpfiction;26;Female;Master's degree;France;56
goodwillhunting;26;Female;Master's degree;France;56
conair;29;Prefer not to say;Master's degree;Germany;57
stirblangsam;29;Prefer not to say;Master's degree;Germany;57
speed;31;Male;Master's degree;Germany;58
matrix;31;Male;Master's degree;Germany;58
silenceofthelambs;31;Male;Master's degree;Germany;58
dirtydancing;23;Male;High school degree or equivalent;Germany;59
terminator;23;Male;High school degree or equivalent;Germany;59
starwars;23;Male;High school degree or equivalent;Germany;59
schindler‘slist;21;Female;High school degree or equivalent;Germany;60
goldeneye;21;Female;High school degree or equivalent;Germany;60
tomorrowneverdies;21;Female;High school degree or equivalent;Germany;60
greenmile;54;Male;High school degree or equivalent;Germany;61
se7en;54;Male;High school degree or equivalent;Germany;61
danceswithwolves;54;Male;High school degree or equivalent;Germany;61
titanic;30;Female;Master's degree;France;62
lionking;30;Female;Master's degree;France;62
starwarsepisode1;30;Female;Master's degree;France;62
pulpfiction;24;Male;Bachelor's degree;Germany;63
twinpeaks;24;Male;Bachelor's degree;Germany;63
memento;24;Male;Bachelor's degree;Germany;63
nan;17;Male;Less than a high school degree;Germany;64
rambo;25;Female;High school degree or equivalent;Germany;65
saw;25;Female;High school degree or equivalent;Germany;65
texaschainsawmassager;25;Female;High school degree or equivalent;Germany;65
badboys;16;Male;Less than a high school degree;Germany;66
nan;21;Male;High school degree or equivalent;Germany;67
et;0;Prefer not to say;NaN;NaN;68
prettywoman;0;Prefer not to say;NaN;NaN;68
bodyguard;0;Prefer not to say;NaN;NaN;68
prettywoman;24;Female;Master's degree;France;69
nothinghill;24;Female;Master's degree;France;69
lesvisiteurs;24;Female;Master's degree;France;69
fightclub;26;Female;Master's degree;France;70
pulpfiction;26;Female;Master's degree;France;70
thebiglebowski;26;Female;Master's degree;France;70
nan;34;Female;Master's degree;Germany;71
titanic;54;Male;Less than a high school degree;Germany;72
diehard;54;Male;Less than a high school degree;Germany;72
titanic;23;Male;Bachelor's degree;Germany;73
pulpfiction;23;Male;Bachelor's degree;Germany;73
flubber;27;Male;Master's degree;Germany;74
spacejam;27;Male;Master's degree;Germany;74
backtothefuture;27;Male;Master's degree;Germany;74
terminator3;25;Male;Bachelor's degree;Germany;75
nan;27;Female;Master's degree;Germany;76
se7en;51;Male;High school degree or equivalent;Germany;77
twister;51;Male;High school degree or equivalent;Germany;77
themummy;51;Male;High school degree or equivalent;Germany;77
fastandthefurious;26;Male;High school degree or equivalent;Germany;78
matrix;26;Male;High school degree or equivalent;Germany;78
fightclub;27;Male;Bachelor's degree;Germany;79
prettywoman;27;Male;Bachelor's degree;Germany;79
matrix;27;Male;Bachelor's degree;Germany;79
nan;25;Male;Master's degree;Germany;80
pulpfiction;25;Male;Bachelor's degree;Germany;81
homealone;25;Male;Bachelor's degree;Germany;81
seven;25;Male;Bachelor's degree;Germany;81
starwars;21;Male;High school degree or equivalent;Germany;82
titanic;21;Male;High school degree or equivalent;Germany;82
matrix;21;Male;High school degree or equivalent;Germany;82
jurrasicpark;23;Female;Bachelor's degree;Germany;83
backtothefuture;23;Female;Bachelor's degree;Germany;83
titanic;23;Female;Bachelor's degree;Germany;83
batman;28;Female;Master's degree;Germany;84
prettywoman;28;Female;Master's degree;Germany;84
freewilly;28;Female;Master's degree;Germany;84
nan;25;Female;Master's degree;Germany;85
matrix;25;Female;Bachelor's degree;Russia;86
forrestgump;25;Female;Bachelor's degree;Russia;86
homealone;25;Female;Bachelor's degree;Russia;86
prettywoman;24;Female;High school degree or equivalent;Germany;87
ghost;24;Female;High school degree or equivalent;Germany;87
es;24;Female;High school degree or equivalent;Germany;87
homealone;26;Male;Bachelor's degree;Germany;88
starwars;26;Male;Bachelor's degree;Germany;88
harrypotter;26;Male;Bachelor's degree;Germany;88
batman;27;Female;Master's degree;Germany;89
spiderman;27;Female;Master's degree;Germany;89
titanic;27;Female;Master's degree;Germany;89
spiderman;25;Male;Bachelor's degree;Germany;90
titanic;25;Male;Bachelor's degree;Germany;90
houseofwax;25;Male;Bachelor's degree;Germany;90
titanic;25;Male;High school degree or equivalent;Germany;91
forrestgump;25;Male;High school degree or equivalent;Germany;91
pulpfiction;25;Male;High school degree or equivalent;Germany;91
pulpfiction;28;Male;High school degree or equivalent;Germany;92
prettywoman;28;Male;High school degree or equivalent;Germany;92
thegreenmile;28;Male;High school degree or equivalent;Germany;92
prettywoman;47;Female;Bachelor's degree;England;93
toystory;47;Female;Bachelor's degree;England;93
matrix;47;Female;Bachelor's degree;England;93
matrix;38;Male;Bachelor's degree;Germany;94
meninblack;38;Male;Bachelor's degree;Germany;94
theusualsuspects;38;Male;Bachelor's degree;Germany;94
missionimpossible;40;Female;Bachelor's degree;China;95
harrypotter;40;Female;Bachelor's degree;China;95
thelordoftherings;40;Female;Bachelor's degree;China;95
matrix;28;Female;High school degree or equivalent;Pakistan;96
starwars;28;Female;High school degree or equivalent;Pakistan;96
lionking;28;Female;High school degree or equivalent;Pakistan;96
starwars;48;Female;Master's degree;Germany;97
nottinghill;48;Female;Master's degree;Germany;97
thesilenceofthelambs;48;Female;Master's degree;Germany;97
lionking;26;Male;Less than a high school degree;Germany;98
americanpie;26;Male;Less than a high school degree;Germany;98
kevinhomealone;26;Male;Less than a high school degree;Germany;98
prinzessinmononoke;26;Female;High school degree or equivalent;Germany;99
pulpfiction;26;Female;High school degree or equivalent;Germany;99
seven;26;Female;High school degree or equivalent;Germany;99
clueless;45;Female;Bachelor's degree;USA;100
theweddingsinger;45;Female;Bachelor's degree;USA;100
misery;45;Female;Bachelor's degree;USA;100
10thingsihateaboutyou;23;Female;Master's degree;England;101
mygirl;23;Female;Master's degree;England;101
clueless;26;Female;Bachelor's degree;Germany;102
chocolat;70;Female;Master's degree;Germany;103
cinemaparadiso;70;Female;Master's degree;Germany;103
thesilenceofthelambs;70;Female;Master's degree;Germany;103
ghostdog:thewayofthesamurai;33;Female;Master's degree;Iran;104
mrs.doubtfire;33;Female;Master's degree;Iran;104
eyeswideshut;33;Female;Master's degree;Iran;104
nan;59;Male;Doctorate (e.g. PhD);Germany;105
jurassicpark;47;Female;Doctorate (e.g. PhD);Germany;106
pulpfiction;47;Female;Doctorate (e.g. PhD);Germany;106
dancerinthedark;47;Female;Doctorate (e.g. PhD);Germany;106
fourweddingsandafuneral;50;Female;Doctorate (e.g. PhD);Germany;107
gegendiewand;50;Female;Doctorate (e.g. PhD);Germany;107
clerks;50;Female;Doctorate (e.g. PhD);Germany;107
;50;Female;Doctorate (e.g. PhD);Germany;107
pulpfiction;45;Female;Doctorate (e.g. PhD);Germany;108
jamesbondgoldeneye;45;Female;Doctorate (e.g. PhD);Germany;108
findingnemo;45;Female;Doctorate (e.g. PhD);Germany;108
