music_genres;p_age;p_gender;p_education;p_country;p_id;uri
classical;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Classical_music
pop;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Pop_music
classical;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Classical_music
funk;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Funk
hip hop;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Hip_hop_music
rnb;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Rhythm_and_blues
rap;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Hip_hop_music
rnb;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Rhythm_and_blues
jazz;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Jazz
schlager;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Schlager_music
heavy metal;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Heavy_metal_music
classical;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Classical_music
rock;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Rock_music
hip hop;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Hip_hop_music
pop;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Pop_music
pop;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Pop_music
rock;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Rock_music
psychedelic;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Psychedelic_rock
rock;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Rock_music
pop;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Pop_music
hip hop;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Hip_hop_music
techno;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Techno
hip hop;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Hip_hop_music
rock;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Rock_music
rap;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Hip_hop_music
hip hop;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Hip_hop_music
rnb;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Rhythm_and_blues
indie;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Indie_rock
hip hop;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Hip_hop_music
classical music;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Classical_music
rock;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Rock_music
techno;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Techno
pop;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Pop_music
