nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
l.a. confidental;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/L.A._Confidential
heat;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Heat_(1995_film)
the green mile;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/The_Green_Mile_(film)
nan;22;Male;Bachelor's degree;Germany;26;NaN
fight club;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Fight_Club
titanic;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Titanic_(1997_film)
man in black;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Men_in_Black_(1997_film)
james bond;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/James_Bond
star wars;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
lord of the rings;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/The_Lord_of_the_Rings
lion king;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/The_Lion_King
dumb & dumber;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Dumb_and_Dumber
youve got mail;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/You've_Got_Mail
rocky;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Rock_music
stirb langsam 1;28;Male;Master's degree;Germany;30;NaN
titanic;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Titanic_(1997_film)
the age of innocence;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/The_Age_of_Innocence_(1993_film)
12 monkeys;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/12_Monkeys
fear and loathing in las vegas;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas
scary movie;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Scary_Movie_(film_series)
water world;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Waterworld
braveheart;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Braveheart
blade;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Blade_(film)
tomorrow never dies;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Tomorrow_Never_Dies
die hard;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Die_Hard_with_a_Vengeance
nan;19;Male;High school degree or equivalent;Germany;34;NaN
glenngarry glenn ross;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Glengarry_Glen_Ross
gattaca;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Gattaca
matrix;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/The_Matrix
pulp fiction;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Pulp_Fiction
seven;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Seven_(1995_film)
good will hunting;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Good_Will_Hunting
pulp fiction;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Pulp_Fiction
night in warth;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Monsters_in_Dungeons_&_Dragons
the sixth sense;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Sixth_sense
pulp fiction;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Pulp_Fiction
pulp fiction;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Pulp_Fiction
goodfellas;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Goodfellas
the silence of the lambs;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/The_Silence_of_the_Lambs
kevin allein zu hause;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Home_Alone
pulp fiction;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Pulp_Fiction
american pie;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/American_Pie_(film)
jurassic park;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Jurassic_Park_(film)
scream;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/The_Scream_(film)
pretty woman;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Pretty_Woman
basic instinct;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Basic_Instinct
casino;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Casino
la confidential;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/L.A._Confidential
forrest gump;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Forrest_Gump
good will hunting;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Good_Will_Hunting
independence day;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Ecuador
pretty woman;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Pretty_Woman
dirty dancing;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Dirty_Dancing
men in black;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Men_in_Black_(1997_film)
titanic;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Titanic_(1997_film)
the mask;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/The_Mask_(1994_film)
flubber;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Flubber
harry potter;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Harry_Potter
