actors;p_age;p_gender;p_education;p_country;p_id;uri
robert downey jr.;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Robert_Downey_Jr.
jennifer aniston;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Jennifer_Aniston
kevin james;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Kevin_James
chris evans;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Chris_Evans_(actor)
sebastian stan;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Sebastian_Stan
jensen ackles;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Jensen_Ackles
chris pratt;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Chris_Pratt
brad pitt;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Brad_Pitt
matt damon;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Matt_Damon
michelle keegan;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Michelle_Keegan
david walliams;23;Female;Master's degree;England;101;http://dbpedia.org/resource/David_Walliams
jennifer aniston;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Jennifer_Aniston
brad pitt;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Brad_Pitt
angelina jolie;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Angelina_Jolie
daniel craig;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Daniel_Craig
juliette binoche;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Juliette_Binoche
julia roberts;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Julia_Roberts
brad pitt;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Brad_Pitt
lily james;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Lily_James
paul dano;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Paul_Dano
richard gere;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Richard_Gere
julia roberts;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Julia_Roberts
bruce willis;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Bruce_Willis
max schreck;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Max_Schreck
peter lorre;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Peter_Lorre
orson welles;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Orson_Welles
kevin bacon;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Kevin_Bacon
keanu reeves;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Keanu_Reeves
dustin hoffman;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Dustin_Hoffman
hugh grant;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Hugh_Grant
jack nicholson;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Jack_Nicholson
marlene dietrich;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Marlene_Dietrich
