mountains;p_age;p_gender;p_education;p_country;p_id;uri
damavand;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Mount_Damavand
dena;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Dena
zugspitze;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Zugspitze
triglav;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Triglav
matterhorn;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Matterhorn
aconcagua;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Aconcagua
mount everest;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Mount_Everest
zugspitze;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Zugspitze
mount everest;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Mount_Everest
zugspitze;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Zugspitze
brocken;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Brocken
mont blanc;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Mont_Blanc
zugspitze;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Zugspitze
monte baldo;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Monte_Baldo
