mountains;p_age;p_gender;p_education;p_country;p_id;uri
feldberg (black forest);27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Feldberg_(Black_Forest)
zugspitze;27;Male;Bachelor's degree;;24;http://dbpedia.org/resource/Zugspitze
feldberg (black forest);23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Feldberg_(Black_Forest)
mount everest;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Mount_Everest
k2;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/K2
mount everest;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Mount_Everest
zugspitze;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Zugspitze
mount kilimanjaro;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Mount_Kilimanjaro
feldberg (black forest);25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Feldberg_(Black_Forest)
k2;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/K2
mount everest;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Mount_Everest
nockspitze;27;Male;Master's degree;germany;28;NaN
hafelekar;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Hafelekarspitze
sizzle;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Single_(music)
mount kilamanjaro;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Mount_Kilimanjaro
mount everest;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Mount_Everest
zugspitze;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Zugspitze
mount everest;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Mount_Everest
matterhorn;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Matterhorn
mount everest;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Mount_Everest
mount olympus;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Mount_Olympus
mount kilimanjaro;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Mount_Kilimanjaro
k2;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/K2
mount everest;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Mount_Everest
zugspitze;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Zugspitze
k2;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/K2
alps;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Alps
matterhorn;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Matterhorn
zugspitze;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Zugspitze
mount wilhelm;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Mount_Wilhelm
k2;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/K2
