cities;p_age;p_gender;p_education;p_country;p_id;uri
milan;23;Male;Bachelor's degree;germany;25;http://dbpedia.org/resource/Milan
heilbronn;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Heilbronn
heidelberg;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Heidelberg
stuttgart;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Stuttgart
frankfurt;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Frankfurt
berlin;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Berlin
munich;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Munich
straubing;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Straubing
almería;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Almería
bammental;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Bammental
calcutta;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Kolkata
shanghai;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Shanghai
washington, d.c.;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Washington,_D.C.
munich;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Munich
münster;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Münster
hamburg;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Hamburg
new york;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/New_York_City
athens;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Athens
beijing;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Beijing
berlin;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Berlin
paris;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Paris
rome;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Rome
seville;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Seville
hong kong;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Hong_Kong
london;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/City_of_London
berlin;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Berlin
hamburg;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Hamburg
munich;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Munich
berlin;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Berlin
brunswick;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Brunswick,_Georgia
heidelberg;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Heidelberg
mannheim;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Mannheim
frankfurt;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Frankfurt
berlin;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Berlin
munich;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Munich
hamburg;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Hamburg
munich;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Munich
new york;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/New_York_City
tokyo;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Tokyo
mannheim;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Mannheim
frankfurt;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Frankfurt
darmstadt;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Darmstadt
munich;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Munich
hamburg;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Hamburg
london;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/City_of_London
paris;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Paris
london;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/City_of_London
barcelona;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Barcelona
milan;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Milan
tarifa;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Tarifa
malmö;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Malmö
paris;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Paris
berlin;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Berlin
tokyo;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Tokyo
madrid;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Madrid
