fast_food;p_age;p_gender;p_education;p_country;p_id;uri
hamburger;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Hamburger
pizza;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Pizza
taco;22;Male;Bachelor's degree;germany;26;http://dbpedia.org/resource/Taco
hamburger;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Hamburger
kebab;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Kebab
sandwich;25;Male;Bachelor's degree;germany;27;http://dbpedia.org/resource/Sandwich
hamburger;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Hamburger
french fries;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/French_fries
chickenwings;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Chicken_wing
hamburger;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Hamburger
taco;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Taco
sandwich;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Sandwich
hamburger;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Hamburger
sandwich;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Sandwich
pizza;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Pizza
hamburger;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Hamburger
hot dog;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Hot_dog
hamburger;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Hamburger
french fries;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/French_fries
wrap;28;Male;Master's degree;germany;32;NaN
hamburger;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Hamburger
hot dog;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Hot_dog
currywurst;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Currywurst
cheeseburger;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Cheeseburger
french fries;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/French_fries
chick nuggets;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Chicken_nugget
hamburger;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hamburger
hot dog;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hot_dog
pizza;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Pizza
hamburger;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Hamburger
pizza;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Pizza
sandwich;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/Sandwich
hamburger;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Hamburger
