authors;p_age;p_gender;p_education;p_country;p_id;uri
stephen king;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Stephen_King
ernest hemingway;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Ernest_Hemingway
astrid lindgren;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Astrid_Lindgren
william faulkner;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/William_Faulkner
thomas mann;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Thomas_Mann
selma lagerlöv;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Selma_Lagerlöf
toni morrisson;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Toni_Morrison
stanislaw lem;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Stanisław_Lem
richard scarry;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Richard_Scarry
len deighton;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Len_Deighton
ernest hemingway;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Ernest_Hemingway
mario vargas llosa;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Mario_Vargas_Llosa
