asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
bangladesh;27;Male;Master's degree;germany;28;http://dbpedia.org/resource/Bangladesh
singapore;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Singapore
cambodia;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Cambodia
laos;30;Male;Bachelor's degree;usa;29;http://dbpedia.org/resource/Laos
thailand;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Thailand
china;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/China
japan;28;Male;Master's degree;germany;30;http://dbpedia.org/resource/Japan
japan;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/Japan
india;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/India
china;38;Female;Doctorate (e.g. PhD);greece;31;http://dbpedia.org/resource/China
china;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/China
vietnam;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Vietnam
thailand;28;Male;Master's degree;germany;32;http://dbpedia.org/resource/Thailand
china;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/China
taiwan;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/Taiwan
south korea;26;Male;Bachelor's degree;germany;33;http://dbpedia.org/resource/South_Korea
china;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/China
singapore;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Singapore
japan;19;Male;High school degree or equivalent;germany;34;http://dbpedia.org/resource/Japan
hong kong;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Hong_Kong
cambodia;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Cambodia
laos;25;Female;Bachelor's degree;germany;35;http://dbpedia.org/resource/Laos
china;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/China
india;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/India
south korea;24;Female;Master's degree;germany;36;http://dbpedia.org/resource/South_Korea
japan;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Japan
china;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/China
burma;25;Male;Bachelor's degree;germany;37;http://dbpedia.org/resource/Myanmar
malaysia;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Malaysia
indonesia;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/Indonesia
india;64;Male;Doctorate (e.g. PhD);austria;38;http://dbpedia.org/resource/India
china;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/China
japan;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/Japan
india;24;Male;Bachelor's degree;germany;39;http://dbpedia.org/resource/India
china;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/China
russia;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/Russia
india;31;Male;Bachelor's degree;germany;40;http://dbpedia.org/resource/India
thailand;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Thailand
china;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/China
indonesia;25;Female;Bachelor's degree;germany;41;http://dbpedia.org/resource/Indonesia
south korea;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/South_Korea
japan;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/Japan
china;28;Female;Bachelor's degree;germany;42;http://dbpedia.org/resource/China
philippines;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Philippines
china;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/China
malaysia;37;Female;Master's degree;germany;43;http://dbpedia.org/resource/Malaysia
thailand;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Thailand
vietnam;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Vietnam
cambodia;50;Female;High school degree or equivalent;germany;44;http://dbpedia.org/resource/Cambodia
vietnam;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Vietnam
india;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/India
thailand;28;Female;High school degree or equivalent;germany;45;http://dbpedia.org/resource/Thailand
china;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/China
japan;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/Japan
india;31;Male;Bachelor's degree;germany;46;http://dbpedia.org/resource/India
india;21;Female;High school degree or equivalent;germany;47;http://dbpedia.org/resource/India
