books;p_age;p_gender;p_education;p_country;p_id;uri
rubinrot;26;Female;Master's degree;Germany;13;http://dbpedia.org/resource/Ruby_Red_Trilogy
the girl with the dragon tattoo;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/The_Girl_with_the_Dragon_Tattoo
deacon king kong;26;Female;Master's degree;Germany;14;NaN
the vanishing half;26;Female;Master's degree;Germany;14;http://dbpedia.org/resource/The_Vanishing_Half
die therapie;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Therapy_(Fitzek_novel)
hannes;28;Female;Doctorate (e.g. PhD);Germany;15;NaN
ein ganzes halbes jahr;28;Female;Doctorate (e.g. PhD);Germany;15;http://dbpedia.org/resource/Me_Before_You
leaders eat last;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Simon_Sinek
the why are you here cafe;25;Male;NaN;Germany;16;NaN
start with why;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Start_With_Why
harry potter and the goblet of fire;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Harry_Potter_and_the_Goblet_of_Fire
to kill a mockingbird;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/To_Kill_a_Mockingbird
the importance of being earnest;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/The_Importance_of_Being_Earnest
the hobbit;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/The_Hobbit
the swarm;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/The_Swarm_(Schätzing_novel)
50 shades of grey;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Fifty_Shades_of_Grey
siddharta;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Siddhartha_(novel)
harry potter;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Harry_Potter
lord of the rings;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/The_Lord_of_the_Rings
kill your friends;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Kill_Your_Friends
slaughterhouse 5;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Slaughterhouse-Five
a wrinkle in time;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/A_Wrinkle_in_Time
in the blink of an eye;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/In_the_Blink_of_an_Eye
nan;44;Female;Doctorate (e.g. PhD);Sweden;22;NaN
rich dad poor dad;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Rich_Dad_Poor_Dad
billy summers;26;Male;Bachelor's degree;Germany;23;NaN
playlist;26;Male;Bachelor's degree;Germany;23;NaN
das café am rande der welt;27;Male;Bachelor's degree;NaN;24;NaN
der pfad des friedvollen kriegers;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Way_of_the_Peaceful_Warrior
;27;Male;Bachelor's degree;NaN;24;NaN
