books;p_age;p_gender;p_education;p_country;p_id;uri
eine kurze geschichteder zeit;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/A_Brief_History_of_Time
das parfum;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Perfume_(novel)
milkman;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Milkman_(novel)
sarah;33;Female;Master's degree;Iran;104;NaN
the magic of thinking big;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/The_Magic_of_Thinking_Big
catcher in the rye;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/The_Catcher_in_the_Rye
tom sawyer;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/The_Adventures_of_Tom_Sawyer
the bible;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Bible
absalom absalom;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Absalom,_Absalom!
die unendiche gschichte;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/The_Neverending_Story
buddenbrooks;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Buddenbrooks
harry potter and the goblet of fire;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Harry_Potter_and_the_Goblet_of_Fire
the king of narnia;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/The_Chronicles_of_Narnia
pippi longstocking;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Pippi_Longstocking
atlas shrugged;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Atlas_Shrugged
to kill a mockingbird;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/To_Kill_a_Mockingbird
cien anos de soledad;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/One_Hundred_Years_of_Solitude
