us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
abraham lincoln;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Abraham_Lincoln
barack obama;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Barack_Obama
george w. bush;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/George_W._Bush
george w. bush;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/George_W._Bush
donald trump;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Donald_Trump
ronald reagan;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Ronald_Reagan
biden;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Joe_Biden
trump;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Donald_Trump
obama;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Barack_Obama
george w bush;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/George_W._Bush
barack obama;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Barack_Obama
donald trump;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Donald_Trump
jefferson;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Thomas_Jefferson
dixon;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Richard_Nixon
lincoln;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Abraham_Lincoln
abraham lincoln;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Abraham_Lincoln
jfk;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/John_F._Kennedy
tyler hamilton;30;Male;Bachelor's degree;USA;29;NaN
trump;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Donald_Trump
obama;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Barack_Obama
john f. kennedy;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/John_F._Kennedy
barack obama;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Barack_Obama
george bush;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/George_W._Bush
bill clinton;38;Female;Doctorate (e.g. PhD);Greece;31;http://dbpedia.org/resource/Bill_Clinton
biden;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Joe_Biden
trump;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Donald_Trump
obama;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Barack_Obama
roosevelt;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Franklin_D._Roosevelt
lincoln;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Abraham_Lincoln
bush;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/George_W._Bush
nixon;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Richard_Nixon
jefferson;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Thomas_Jefferson
reagan;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Ronald_Reagan
obama;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Barack_Obama
trump;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/Donald_Trump
bush;25;Female;Bachelor's degree;Germany;35;http://dbpedia.org/resource/George_W._Bush
biden;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Joe_Biden
trump;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Donald_Trump
obama;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Barack_Obama
washington;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/George_Washington
lincoln;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Abraham_Lincoln
jefferson;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Thomas_Jefferson
bush;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/George_W._Bush
trump;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Donald_Trump
kennedy;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/John_F._Kennedy
joe biden;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Joe_Biden
donald trump;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Donald_Trump
barack obama;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Barack_Obama
trump;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Donald_Trump
obama;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Barack_Obama
lincoln;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Abraham_Lincoln
trump;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Donald_Trump
biden;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Joe_Biden
bush;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/George_W._Bush
georg bush;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/George_W._Bush
ronald reagan;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Ronald_Reagan
john f kennedy;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/John_F._Kennedy
george w. bush;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/George_W._Bush
bill clinton;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Bill_Clinton
barack obama;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Barack_Obama
ronald reagan;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Ronald_Reagan
barack obama;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Barack_Obama
joe biden;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Joe_Biden
donald trump;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Donald_Trump
barack obama;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Barack_Obama
george w. bush;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/George_W._Bush
bush sr;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/George_H._W._Bush
bush jr;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/George_W._Bush
obama;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Barack_Obama
obama;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Barack_Obama
trump;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Donald_Trump
biden;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Joe_Biden
obama;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Barack_Obama
kennedy;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/John_F._Kennedy
trump;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Donald_Trump
barak obama;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Barack_Obama
donald trump;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Donald_Trump
john f kennedy;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/John_F._Kennedy
barack obama;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Barack_Obama
joe biden;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Joe_Biden
franklin roosevelt;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Franklin_D._Roosevelt
biden;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Joe_Biden
trump;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Donald_Trump
obama;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Barack_Obama
joe biden;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Joe_Biden
barack obama;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Barack_Obama
donald trump;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Donald_Trump
biden;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Joe_Biden
trump;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Donald_Trump
obama;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Barack_Obama
obama;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Barack_Obama
washington;34;Female;Master's degree;France;54;http://dbpedia.org/resource/George_Washington
carter;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Jimmy_Carter
biden;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Joe_Biden
obama;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Barack_Obama
bush;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/George_W._Bush
bush;26;Female;Master's degree;France;56;http://dbpedia.org/resource/George_W._Bush
biden;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Joe_Biden
obama;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Barack_Obama
eisenhower;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Dwight_D._Eisenhower
roosevelt;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Franklin_D._Roosevelt
clinton;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Bill_Clinton
woodrow wilson;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Woodrow_Wilson
donald trump;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Donald_Trump
gerald ford;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Gerald_Ford
bush;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/George_W._Bush
clinton;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Bill_Clinton
obama;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Barack_Obama
barack obama;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Barack_Obama
joe biden;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Joe_Biden
donald trump;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Donald_Trump
j.f. kennedy;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/John_F._Kennedy
franklin d. roosevelt;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Franklin_D._Roosevelt
jimmy carter;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Jimmy_Carter
biden;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Joe_Biden
trump;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Donald_Trump
obama;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Barack_Obama
trump;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Donald_Trump
obama;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Barack_Obama
kennedy;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/John_F._Kennedy
