us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
trump;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Donald_Trump
bill clinton;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Bill_Clinton
george w. bush;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/George_W._Bush
barack obama;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Barack_Obama
roosevelt;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Franklin_D._Roosevelt
obama;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Barack_Obama
george w. bush;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/George_W._Bush
joe biden;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Joe_Biden
donald trump;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Donald_Trump
george washington;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/George_Washington
joe biden;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Joe_Biden
barak obama;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Barack_Obama
donald trump;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Donald_Trump
joe biden;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Joe_Biden
abraham lincoln;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Abraham_Lincoln
barack obama;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Barack_Obama
