us_companies;p_age;p_gender;p_education;p_country;p_id;uri
gm;25;Male;NaN;Germany;16;http://dbpedia.org/resource/General_Motors
general electric;25;Male;NaN;Germany;16;http://dbpedia.org/resource/General_Electric
microsoft;25;Male;NaN;Germany;16;http://dbpedia.org/resource/Microsoft
meta;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/Meta_Platforms
glaxosmithkline;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/GlaxoSmithKline
general motors;31;Female;Master's degree;Germany;17;http://dbpedia.org/resource/General_Motors
apple;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Apple_Inc.
chrysler;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Chrysler
boeing;36;Male;Master's degree;Germany;18;http://dbpedia.org/resource/Boeing
unilever;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Unilever
alphabet;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Alphabet_Inc.
meta;27;Male;Master's degree;Germany;19;http://dbpedia.org/resource/Meta_Platforms
tesla;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Tesla,_Inc.
google;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Google
amazon;33;Male;Doctorate (e.g. PhD);Germany;20;http://dbpedia.org/resource/Amazon_(company)
exxon;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Exxon
dupont;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/DuPont
oracle;26;Male;Bachelor's degree;USA;21;http://dbpedia.org/resource/Oracle_Corporation
microsoft;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Microsoft
google;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Google
apple;44;Female;Doctorate (e.g. PhD);Sweden;22;http://dbpedia.org/resource/Apple_Inc.
apple;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Apple_Inc.
microsoft;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Microsoft
nvidia;26;Male;Bachelor's degree;Germany;23;http://dbpedia.org/resource/Nvidia
apple;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Apple_Inc.
microsoft;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Microsoft
netflix;27;Male;Bachelor's degree;NaN;24;http://dbpedia.org/resource/Netflix
google;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Google
fedex;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/FedEx
apple;23;Male;Bachelor's degree;Germany;25;http://dbpedia.org/resource/Apple_Inc.
amazon;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Amazon_(company)
dell;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Dell
boston dynamics;22;Male;Bachelor's degree;Germany;26;http://dbpedia.org/resource/Boston_Dynamics
apple;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Apple_Inc.
amazon;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Amazon_(company)
tesla;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Tesla,_Inc.
coca cola;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/The_Coca-Cola_Company
amazon;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Amazon_(company)
gm;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/General_Motors
pepsi;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/PepsiCo
berkshire hathaway;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Berkshire_Hathaway
jp morgan chase;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/JPMorgan_Chase
twitter;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Twitter
