dax_companies;p_age;p_gender;p_education;p_country;p_id;uri
lufthansa;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Lufthansa
audi;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Audi
vw;25;Male;Bachelor's degree;Germany;27;http://dbpedia.org/resource/Volkswagen
mercedes benz;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Daimler_AG
sap;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/SAP_SE
deliveryhero;27;Male;Master's degree;Germany;28;http://dbpedia.org/resource/Delivery_Hero
audi;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Audi
bayer;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/Bayer
sap;30;Male;Bachelor's degree;USA;29;http://dbpedia.org/resource/SAP_SE
daimler;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Daimler_AG
dhl;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/DHL
volkswagen;28;Male;Master's degree;Germany;30;http://dbpedia.org/resource/Volkswagen
nan;38;Female;Doctorate (e.g. PhD);Greece;31;NaN
bmw;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/BMW
allianz;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/Allianz
basf;28;Male;Master's degree;Germany;32;http://dbpedia.org/resource/BASF
bayer;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Bayer
porsche;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Porsche
adidas;26;Male;Bachelor's degree;Germany;33;http://dbpedia.org/resource/Adidas
daimler;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Daimler_AG
bmw;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/BMW
siemens;19;Male;High school degree or equivalent;Germany;34;http://dbpedia.org/resource/Siemens
nan;25;Female;Bachelor's degree;Germany;35;NaN
sap;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/SAP_SE
bmw;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/BMW
allianz;24;Female;Master's degree;Germany;36;http://dbpedia.org/resource/Allianz
vw;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Volkswagen
adidas;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/Adidas
bmw;25;Male;Bachelor's degree;Germany;37;http://dbpedia.org/resource/BMW
bmw;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/BMW
qiagen;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Qiagen
vw;64;Male;Doctorate (e.g. PhD);Austria;38;http://dbpedia.org/resource/Volkswagen
sap;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/SAP_SE
daimler;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/Daimler_AG
bmw;24;Male;Bachelor's degree;Germany;39;http://dbpedia.org/resource/BMW
adidas;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Adidas
mercedes benz group;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Daimler_AG
deutsche bank;31;Male;Bachelor's degree;Germany;40;http://dbpedia.org/resource/Deutsche_Bank
merck;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/Merck_&_Co.
sap;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/SAP_SE
db cargo;25;Female;Bachelor's degree;Germany;41;http://dbpedia.org/resource/DB_Cargo
westwing;28;Female;Bachelor's degree;Germany;42;NaN
alibaba;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/Alibaba_Group
lmvh;28;Female;Bachelor's degree;Germany;42;http://dbpedia.org/resource/LVMH
adidas;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Adidas
lufthansa;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Lufthansa
siemens;37;Female;Master's degree;Germany;43;http://dbpedia.org/resource/Siemens
flatex;50;Female;High school degree or equivalent;Germany;44;Nan
consorsbank;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/Consorsbank
ing;50;Female;High school degree or equivalent;Germany;44;http://dbpedia.org/resource/ING_Group
vw;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Volkswagen
sap;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/SAP_SE
heidelberger druck;28;Female;High school degree or equivalent;Germany;45;http://dbpedia.org/resource/Heidelberger_Druckmaschinen
sap;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/SAP_SE
henkel;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/Henkel
bayern munich;31;Male;Bachelor's degree;Germany;46;http://dbpedia.org/resource/FC_Bayern_Munich
adidas;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Adidas
allianz;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/Allianz
basf;21;Female;High school degree or equivalent;Germany;47;http://dbpedia.org/resource/BASF
audi;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Audi
bmw;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/BMW
daimler;23;Female;Bachelor's degree;Germany;48;http://dbpedia.org/resource/Daimler_AG
apple;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Apple_Inc.
google;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Google
volkswagen;36;Male;Bachelor's degree;India;49;http://dbpedia.org/resource/Volkswagen
mercedes benz group;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Daimler_AG
basf;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/BASF
deutsche bank;28;Female;Master's degree;Romania;50;http://dbpedia.org/resource/Deutsche_Bank
volkswagen;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Volkswagen
daimler;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Daimler_AG
siemens;19;Female;High school degree or equivalent;Germany;51;http://dbpedia.org/resource/Siemens
vw;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Volkswagen
bayer;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Bayer
hello fresh;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/HelloFresh
nan;25;Male;Bachelor's degree;Germany;53;NaN
nan;34;Female;Master's degree;France;54;NaN
nan;20;Female;High school degree or equivalent;Germany;55;NaN
nan;26;Female;Master's degree;France;56;NaN
allianz;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Allianz
bmw;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/BMW
vw;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Volkswagen
sap;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/SAP_SE
basf;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/BASF
volkswagen;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Volkswagen
vw;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Volkswagen
basf;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/BASF
sap;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/SAP_SE
sap;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/SAP_SE
beiersdorf;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Beiersdorf
deutsche post;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Deutsche_Post
basf;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/BASF
sap;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/SAP_SE
bmw;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/BMW
bmw;30;Female;Master's degree;France;62;http://dbpedia.org/resource/BMW
porsche;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Porsche
audi;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Audi
sap;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/SAP_SE
deutsche bank;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Deutsche_Bank
biontech;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/BioNTech
daimler;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Daimler_AG
sap;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/SAP_SE
hello fresh;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/HelloFresh
sap;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/SAP_SE
vw;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Volkswagen
jungheinrich;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Jungheinrich
siemens;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Siemens
airbus;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Airbus
deutsche bank;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Deutsche_Bank
allianz;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Allianz
vonovia;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Ruhrstadion
bmw;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/BMW
sap;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/SAP_SE
mercedes benz;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Daimler_AG
basf;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/BASF
merck;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Merck_&_Co.
bmw;24;Female;Master's degree;France;69;http://dbpedia.org/resource/BMW
lufthansa;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Lufthansa
dpdhl;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Deutsche_Post
lufthansa;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Lufthansa
deutsche bank;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Deutsche_Bank
siemens;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Siemens
lufthansa;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Lufthansa
daimler;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Daimler_AG
mercedes benz;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Daimler_AG
sap;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/SAP_SE
volkswagen;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Volkswagen
