uri;european_countries;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Austria;austria;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Iceland;iceland;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Faroe_Islands;faroerislands;27;Male;Master's degree;germany;28
http://dbpedia.org/resource/Norway;norway;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Denmark;denmark;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Sweden;sweden;30;Male;Bachelor's degree;usa;29
http://dbpedia.org/resource/Netherlands;netherlands;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/Austria;austria;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/Italy;italy;28;Male;Master's degree;germany;30
http://dbpedia.org/resource/France;france;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Greece;greece;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/San_Marino;croatia;38;Female;Doctorate (e.g. PhD);greece;31
http://dbpedia.org/resource/Germany;germany;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/France;france;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Italy;italy;28;Male;Master's degree;germany;32
http://dbpedia.org/resource/Germany;germany;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/France;france;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Italy;italy;26;Male;Bachelor's degree;germany;33
http://dbpedia.org/resource/Germany;germany;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/United_Kingdom;united kingdom;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/Austria;austria;19;Male;High school degree or equivalent;germany;34
http://dbpedia.org/resource/San_Marino;san marino;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Ukraine;ukraine;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Spain;spain;25;Female;Bachelor's degree;germany;35
http://dbpedia.org/resource/Germany;germany;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Poland;poland;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Sweden;sweden;24;Female;Master's degree;germany;36
http://dbpedia.org/resource/Germany;germany;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Switzerland;switzerland;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Austria;austria;25;Male;Bachelor's degree;germany;37
http://dbpedia.org/resource/Germany;germany;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/France;france;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Italy;italy;64;Male;Doctorate (e.g. PhD);austria;38
http://dbpedia.org/resource/Germany;germany;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Spain;spain;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/France;france;24;Male;Bachelor's degree;germany;39
http://dbpedia.org/resource/Germany;germany;31;Male;Bachelor's degree;germany;40
