"book","name"
"http://dbpedia.org/resource/Out_Stealing_Horses","Out Stealing Horses"
"http://dbpedia.org/resource/Paul_Baldwin","Paul Baldwin"
"http://dbpedia.org/resource/Pelvic_examination","Pelvic examination"
"http://dbpedia.org/resource/Pirkkalan_pyhät_pihlajat","Pirkkalan pyhät pihlajat"
"http://dbpedia.org/resource/Plunder_of_the_Sun","Plunder of the Sun"
"http://dbpedia.org/resource/Porvarin_morsian","Porvarin morsian"
"http://dbpedia.org/resource/Rakas_Henrietta","Rakas Henrietta"
"http://dbpedia.org/resource/Ralfe_Band","Ralfe Band"
"http://dbpedia.org/resource/Rautalilja","Rautalilja"
"http://dbpedia.org/resource/Recombo_DNA","Recombo DNA"
"http://dbpedia.org/resource/Ruma_kreivitär","Ruma kreivitär"
"http://dbpedia.org/resource/Ruusulaakso","Ruusulaakso"
"http://dbpedia.org/resource/SEE-UPTU","SEE-UPTU"
"http://dbpedia.org/resource/SPEAKING","SPEAKING"
"http://dbpedia.org/resource/Saippuaprinsessa","Saippuaprinsessa"
"http://dbpedia.org/resource/Samayasāra","Samayasāra"
"http://dbpedia.org/resource/Sard_Harker","Sard Harker"
"http://dbpedia.org/resource/Saturn's_Children_(Duncan_and_Hobson_book)","Saturn's Children (Duncan and Hobson book)"
"http://dbpedia.org/resource/Savage_Messiah_(novel)","Savage Messiah (novel)"
"http://dbpedia.org/resource/Season_of_the_Sun","Season of the Sun"
"http://dbpedia.org/resource/Seeing_Redd","Seeing Redd"
"http://dbpedia.org/resource/Seto_Windhill","Seto Windhill"
"http://dbpedia.org/resource/Six_moments_musicaux_(Schubert)","Six moments musicaux (Schubert)"
"http://dbpedia.org/resource/Socialism_(book)","Socialism (book)"
"http://dbpedia.org/resource/Steve_Marriott:_All_Too_Beautiful...","Steve Marriott: All Too Beautiful..."
"http://dbpedia.org/resource/Stop_Me_If_You've_Heard_This_One_Before","Stop Me If You've Heard This One Before"
"http://dbpedia.org/resource/Sunneva_Jaarlintytär","Sunneva Jaarlintytär"
"http://dbpedia.org/resource/Sunneva_keisarin_kaupungissa","Sunneva keisarin kaupungissa"
"http://dbpedia.org/resource/Super_League_Show","Super League Show"
"http://dbpedia.org/resource/The_Abyss_(Yourcenar_novel)","The Abyss (Yourcenar novel)"
"http://dbpedia.org/resource/The_Alchemyst:_The_Secrets_of_the_Immortal_Nicholas_Flamel","The Alchemyst: The Secrets of the Immortal Nicholas Flamel"
"http://dbpedia.org/resource/The_Arrival_(novel)","The Arrival (novel)"
"http://dbpedia.org/resource/The_Babe_Ruth_Story","The Babe Ruth Story"
"http://dbpedia.org/resource/The_Civilization_of_the_Renaissance_in_Italy","The Civilization of the Renaissance in Italy"
"http://dbpedia.org/resource/The_Complete_BBC_Recordings_(Joy_Division_album)","The Complete BBC Recordings (Joy Division album)"
"http://dbpedia.org/resource/The_End_of_the_Line_(book)","The End of the Line (book)"
"http://dbpedia.org/resource/The_Endless_Steppe","The Endless Steppe"
"http://dbpedia.org/resource/The_Essential_Leonard_Cohen","The Essential Leonard Cohen"
"http://dbpedia.org/resource/The_Far_Side_Gallery_3","The Far Side Gallery 3"
"http://dbpedia.org/resource/The_Far_Side_Gallery_5","The Far Side Gallery 5"
"http://dbpedia.org/resource/The_Fast_Red_Road","The Fast Red Road"
"http://dbpedia.org/resource/The_Fog_(novel)","The Fog (novel)"
"http://dbpedia.org/resource/The_Forger_(Watkins_novel)","The Forger (Watkins novel)"
"http://dbpedia.org/resource/The_Golden_Age_of_Looney_Tunes","The Golden Age of Looney Tunes"
"http://dbpedia.org/resource/The_Greatness_That_Was_Babylon","The Greatness That Was Babylon"
"http://dbpedia.org/resource/The_Hollies'_Greatest_Hits_(1967_album)","The Hollies' Greatest Hits (1967 album)"
"http://dbpedia.org/resource/The_Hollow_Men_(book)","The Hollow Men (book)"
"http://dbpedia.org/resource/The_Hork-Bajir_Chronicles","The Hork-Bajir Chronicles"
"http://dbpedia.org/resource/The_House_at_Riverton","The House at Riverton"
"http://dbpedia.org/resource/The_Johnny_Maestro_Story","The Johnny Maestro Story"
"http://dbpedia.org/resource/The_Last_Little_Life_EP","The Last Little Life EP"
"http://dbpedia.org/resource/The_Mailroom:_Hollywood_History_from_the_Bottom_Up","The Mailroom: Hollywood History from the Bottom Up"
"http://dbpedia.org/resource/The_Memoirs_of_Naim_Bey","The Memoirs of Naim Bey"
"http://dbpedia.org/resource/The_Pacific_Between","The Pacific Between"
"http://dbpedia.org/resource/The_Politics_of_Bones","The Politics of Bones"
"http://dbpedia.org/resource/The_Politics_of_Truth","The Politics of Truth"
"http://dbpedia.org/resource/The_Road_of_Dreams","The Road of Dreams"
"http://dbpedia.org/resource/The_Sacrifice_(Applegate_novel)","The Sacrifice (Applegate novel)"
"http://dbpedia.org/resource/The_Seed_Is_Mine","The Seed Is Mine"
"http://dbpedia.org/resource/The_Semantic_Turn","The Semantic Turn"
"http://dbpedia.org/resource/The_Siege_of_Mecca","The Siege of Mecca"
"http://dbpedia.org/resource/The_Sky_Crawlers","The Sky Crawlers"
"http://dbpedia.org/resource/The_Slave_Community","The Slave Community"
"http://dbpedia.org/resource/The_Spring_of_the_Moonstone","The Spring of the Moonstone"
"http://dbpedia.org/resource/The_Stone_Monkey","The Stone Monkey"
"http://dbpedia.org/resource/The_Strange_Encounter","The Strange Encounter"
"http://dbpedia.org/resource/Uhritulet","Uhritulet"
"http://dbpedia.org/resource/Ukrainian_passport","Ukrainian passport"
"http://dbpedia.org/resource/Ultimate_Santana","Ultimate Santana"
"http://dbpedia.org/resource/Vadakkan_Pattukal","Vadakkan Pattukal"
"http://dbpedia.org/resource/Vanajan_Joanna","Vanajan Joanna"
"http://dbpedia.org/resource/Vehkalahden_neidot","Vehkalahden neidot"
"http://dbpedia.org/resource/Vengeance_in_Death","Vengeance in Death"
"http://dbpedia.org/resource/Viipurin_kaunotar","Viipurin kaunotar"
"http://dbpedia.org/resource/Void_Moon","Void Moon"
