"usCo","name"
"http://dbpedia.org/resource/Railex","Railex"
"http://dbpedia.org/resource/Berkeley_Railroad","Berkeley Railroad"
"http://dbpedia.org/resource/Branchville_and_Bowman_Railroad","Branchville and Bowman Railroad"
"http://dbpedia.org/resource/Buffalo_Union-Carolina_Railroad","Buffalo Union-Carolina Railroad"
"http://dbpedia.org/resource/CertusBank","CertusBank"
"http://dbpedia.org/resource/Charleston_Southern_Railway","Charleston Southern Railway"
"http://dbpedia.org/resource/Charleston_Terminal_Company","Charleston Terminal Company"
"http://dbpedia.org/resource/Charleston_Union_Station_Company","Charleston Union Station Company"
"http://dbpedia.org/resource/Colleton_County_Railroad","Colleton County Railroad"
"http://dbpedia.org/resource/Columbia_Union_Station_Company","Columbia Union Station Company"
"http://dbpedia.org/resource/East_Shore_Terminal_Company","East Shore Terminal Company"
"http://dbpedia.org/resource/Eddy_Lake_and_Northern_Railroad","Eddy Lake and Northern Railroad"
"http://dbpedia.org/resource/Florence_Railroad","Florence Railroad"
"http://dbpedia.org/resource/Glenn_Springs_Railroad","Glenn Springs Railroad"
"http://dbpedia.org/resource/Greenwood,_Anderson_and_Western_Railway","Greenwood, Anderson and Western Railway"
"http://dbpedia.org/resource/Hampton_and_Branchville_Railroad_and_Lumber_Company","Hampton and Branchville Railroad and Lumber Company"
"http://dbpedia.org/resource/List_of_Kentucky_companies","List of Kentucky companies"
"http://dbpedia.org/resource/Louisville,_Cincinnati_and_Charleston_Railroad","Louisville, Cincinnati and Charleston Railroad"
"http://dbpedia.org/resource/Manchester_and_Augusta_Railroad","Manchester and Augusta Railroad"
"http://dbpedia.org/resource/Marion_County_Railway","Marion County Railway"
"http://dbpedia.org/resource/North_Charleston_Terminal_Company","North Charleston Terminal Company"
"http://dbpedia.org/resource/Northwestern_Railroad_of_South_Carolina","Northwestern Railroad of South Carolina"
"http://dbpedia.org/resource/Pee_Dee_Bridge_Company","Pee Dee Bridge Company"
"http://dbpedia.org/resource/Pee_Dee_River_Railway","Pee Dee River Railway"
"http://dbpedia.org/resource/Rockingham_Railroad","Rockingham Railroad"
"http://dbpedia.org/resource/Sievern_and_Knoxville_Railroad","Sievern and Knoxville Railroad"
"http://dbpedia.org/resource/South_Carolina_Terminal_Company","South Carolina Terminal Company"
"http://dbpedia.org/resource/South_Carolina_Western_Extension_Railway","South Carolina Western Extension Railway"
"http://dbpedia.org/resource/South_Carolina_Western_Railway","South Carolina Western Railway"
"http://dbpedia.org/resource/South_Carolina_and_Georgia_Extension_Railroad","South Carolina and Georgia Extension Railroad"
"http://dbpedia.org/resource/Southern_Railway_–_Carolina_Division","Southern Railway – Carolina Division"
"http://dbpedia.org/resource/Union_and_Glenn_Springs_Railroad","Union and Glenn Springs Railroad"
"http://dbpedia.org/resource/Williamsburg_Railroad","Williamsburg Railroad"
"http://dbpedia.org/resource/Wilmington_and_Conway_Railroad","Wilmington and Conway Railroad"
"http://dbpedia.org/resource/List_of_airlines_of_Guam","List of airlines of Guam"
"http://dbpedia.org/resource/List_of_airlines_of_the_United_States_Virgin_Islands","List of airlines of the United States Virgin Islands"
"http://dbpedia.org/resource/List_of_Georgia_(U.S._state)_companies","List of Georgia (U.S. state) companies"
"http://dbpedia.org/resource/List_of_companies_based_in_the_San_Francisco_Bay_Area","List of companies based in the San Francisco Bay Area"
"http://dbpedia.org/resource/Sea_Pines_Company","Sea Pines Company"
"http://dbpedia.org/resource/Wilmington_Subdivision","Wilmington Subdivision"
"http://dbpedia.org/resource/Stony_River_Subdivision","Stony River Subdivision"
"http://dbpedia.org/resource/Thomas_Subdivision","Thomas Subdivision"
"http://dbpedia.org/resource/The_South-Carolina_and_American_General_Gazette","The South-Carolina and American General Gazette"
"http://dbpedia.org/resource/List_of_TV_Guide_covers_(2020s)","List of TV Guide covers (2020s)"
"http://dbpedia.org/resource/CSX_Transportation","CSX Transportation"
"http://dbpedia.org/resource/Domtar","Domtar"
"http://dbpedia.org/resource/TV_Guide","TV Guide"
"http://dbpedia.org/resource/14th_Street_bridges","14th Street bridges"
"http://dbpedia.org/resource/Hooters_Air","Hooters Air"
"http://dbpedia.org/resource/Lonely_Planet","Lonely Planet"
"http://dbpedia.org/resource/Norfolk_Southern_Railway","Norfolk Southern Railway"
"http://dbpedia.org/resource/Staten_Island_Railway","Staten Island Railway"
"http://dbpedia.org/resource/ZDNet","ZDNet"
"http://dbpedia.org/resource/Columbia_Record","Columbia Record"
"http://dbpedia.org/resource/List_of_common_carrier_freight_railroads_in_the_United_States","List of common carrier freight railroads in the United States"
"http://dbpedia.org/resource/List_of_United_States_insurance_companies","List of United States insurance companies"
"http://dbpedia.org/resource/Berkshire_Subdivision","Berkshire Subdivision"
