"fastFood","name"
"http://dbpedia.org/resource/El_Cuartito","El Cuartito"
"http://dbpedia.org/resource/La_Colombe_Coffee_Roasters","La Colombe Coffee Roasters"
"http://dbpedia.org/resource/Firestorm_Books_&_Coffee","Firestorm Books & Coffee"
"http://dbpedia.org/resource/Fool's_Gold_Loaf","Fool's Gold Loaf"
"http://dbpedia.org/resource/Forest_Café","Forest Café"
"http://dbpedia.org/resource/Formosa_Cafe","Formosa Cafe"
"http://dbpedia.org/resource/Fortune_cookie","Fortune cookie"
"http://dbpedia.org/resource/Pie_floater","Pie floater"
"http://dbpedia.org/resource/Raffaele_Esposito","Raffaele Esposito"
"http://dbpedia.org/resource/Garlic_knot","Garlic knot"
"http://dbpedia.org/resource/Kowloon_Restaurant","Kowloon Restaurant"
"http://dbpedia.org/resource/L&B_Spumoni_Gardens","L&B Spumoni Gardens"
"http://dbpedia.org/resource/Laksa","Laksa"
"http://dbpedia.org/resource/Last_Exit_on_Brooklyn","Last Exit on Brooklyn"
"http://dbpedia.org/resource/Pizza_by_the_slice","Pizza by the slice"
"http://dbpedia.org/resource/Shawarma","Shawarma"
"http://dbpedia.org/resource/The_Vault_(Coffee_Shop)","The Vault (Coffee Shop)"
"http://dbpedia.org/resource/Third_wave_of_coffee","Third wave of coffee"
"http://dbpedia.org/resource/Tontine_Coffee_House","Tontine Coffee House"
"http://dbpedia.org/resource/Tops_Pizza","Tops Pizza"
"http://dbpedia.org/resource/Turon_(food)","Turon (food)"
"http://dbpedia.org/resource/William_Theisen","William Theisen"
"http://dbpedia.org/resource/Nam_khao","Nam khao"
"http://dbpedia.org/resource/Pizza_in_the_United_States","Pizza in the United States"
"http://dbpedia.org/resource/Yatai_(food_cart)","Yatai (food cart)"
"http://dbpedia.org/resource/Yianni_Papoutsis","Yianni Papoutsis"
"http://dbpedia.org/resource/Pu_pu_platter","Pu pu platter"
"http://dbpedia.org/resource/Will's_Coffee_House","Will's Coffee House"
"http://dbpedia.org/resource/Pizzeria_Napoli_(Baghdad)","Pizzeria Napoli (Baghdad)"
"http://dbpedia.org/resource/History_of_pizza","History of pizza"
"http://dbpedia.org/resource/History_of_the_hamburger","History of the hamburger"
"http://dbpedia.org/resource/Salt_Spring_Coffee","Salt Spring Coffee"
"http://dbpedia.org/resource/Shrimp_toast","Shrimp toast"
"http://dbpedia.org/resource/Sloppy_joe_(New_Jersey)","Sloppy joe (New Jersey)"
"http://dbpedia.org/resource/Veggie_burger","Veggie burger"
"http://dbpedia.org/resource/Indonesian_noodles","Indonesian noodles"
"http://dbpedia.org/resource/McCafé","McCafé"
"http://dbpedia.org/resource/The_Second_Floor","The Second Floor"
"http://dbpedia.org/resource/Taquito","Taquito"
"http://dbpedia.org/resource/A_Twosome_Place","A Twosome Place"
"http://dbpedia.org/resource/Agora_(Houston)","Agora (Houston)"
"http://dbpedia.org/resource/Debonairs_Pizza","Debonairs Pizza"
"http://dbpedia.org/resource/Di_Fara_Pizza","Di Fara Pizza"
"http://dbpedia.org/resource/Diedrich_Coffee","Diedrich Coffee"
"http://dbpedia.org/resource/Dim_sum","Dim sum"
"http://dbpedia.org/resource/Dimo's_Apizza","Dimo's Apizza"
"http://dbpedia.org/resource/Dôme_(coffeehouse)","Dôme (coffeehouse)"
"http://dbpedia.org/resource/Eagle_Boys","Eagle Boys"
"http://dbpedia.org/resource/East_Glisan_Pizza_Lounge","East Glisan Pizza Lounge"
"http://dbpedia.org/resource/EasyPizza","EasyPizza"
"http://dbpedia.org/resource/Ediya_Coffee","Ediya Coffee"
"http://dbpedia.org/resource/Egg_roll","Egg roll"
"http://dbpedia.org/resource/El_Mejunje","El Mejunje"
"http://dbpedia.org/resource/Handsome_Pizza","Handsome Pizza"
"http://dbpedia.org/resource/Hear_Music","Hear Music"
"http://dbpedia.org/resource/Heart_Coffee_Roasters","Heart Coffee Roasters"
"http://dbpedia.org/resource/Heine_Brothers'","Heine Brothers'"
"http://dbpedia.org/resource/Bacon,_egg_and_cheese_sandwich","Bacon, egg and cheese sandwich"
"http://dbpedia.org/resource/Bagel","Bagel"
