"actor","name"
"http://dbpedia.org/resource/Gunnar_Olsson_(actor)","Gunnar Olsson (actor)"
"http://dbpedia.org/resource/Gustav_Wiklund","Gustav Wiklund"
"http://dbpedia.org/resource/Göran_Ragnerstam","Göran Ragnerstam"
"http://dbpedia.org/resource/Hal_Price","Hal Price"
"http://dbpedia.org/resource/Hank_Bell","Hank Bell"
"http://dbpedia.org/resource/Harold_Goodwin_(English_actor)","Harold Goodwin (English actor)"
"http://dbpedia.org/resource/Harold_Kasket","Harold Kasket"
"http://dbpedia.org/resource/Harrison_Greene","Harrison Greene"
"http://dbpedia.org/resource/Harrison_Young","Harrison Young"
"http://dbpedia.org/resource/Harry_Hayden","Harry Hayden"
"http://dbpedia.org/resource/Harry_Stockwell","Harry Stockwell"
"http://dbpedia.org/resource/Harry_Tenbrook","Harry Tenbrook"
"http://dbpedia.org/resource/Harry_Waters_Jr.","Harry Waters Jr."
"http://dbpedia.org/resource/Harry_Woods_(actor)","Harry Woods (actor)"
"http://dbpedia.org/resource/Ho_Yi","Ho Yi"
"http://dbpedia.org/resource/Holger_Löwenadler","Holger Löwenadler"
"http://dbpedia.org/resource/Howard_Witt","Howard Witt"
"http://dbpedia.org/resource/Hugh_Sinclair_(actor)","Hugh Sinclair (actor)"
"http://dbpedia.org/resource/Héctor_Suárez","Héctor Suárez"
"http://dbpedia.org/resource/Ivor_Barry","Ivor Barry"
"http://dbpedia.org/resource/Iván_Darvas","Iván Darvas"
"http://dbpedia.org/resource/Ix_Shen","Ix Shen"
"http://dbpedia.org/resource/J._Scott_Smart","J. Scott Smart"
"http://dbpedia.org/resource/Jack_Ingram_(actor)","Jack Ingram (actor)"
"http://dbpedia.org/resource/Jack_McGee_(actor)","Jack McGee (actor)"
"http://dbpedia.org/resource/Jack_Norton","Jack Norton"
"http://dbpedia.org/resource/Jack_Pennick","Jack Pennick"
"http://dbpedia.org/resource/Jake_Richardson","Jake Richardson"
"http://dbpedia.org/resource/James_A._Woods","James A. Woods"
"http://dbpedia.org/resource/James_Jordan_(actor)","James Jordan (actor)"
"http://dbpedia.org/resource/James_Saito","James Saito"
"http://dbpedia.org/resource/James_Stewart_(Australian_actor)","James Stewart (Australian actor)"
"http://dbpedia.org/resource/Jan_Josef_Liefers","Jan Josef Liefers"
"http://dbpedia.org/resource/Jan_Schweiterman","Jan Schweiterman"
"http://dbpedia.org/resource/Jarl_Kulle","Jarl Kulle"
"http://dbpedia.org/resource/Jason_Tam","Jason Tam"
"http://dbpedia.org/resource/Jasper_Britton","Jasper Britton"
"http://dbpedia.org/resource/Jay_Wilsey","Jay Wilsey"
"http://dbpedia.org/resource/Jeff_MacKay","Jeff MacKay"
"http://dbpedia.org/resource/Jeremy_Lindsay_Taylor","Jeremy Lindsay Taylor"
"http://dbpedia.org/resource/Jesús_Barrero","Jesús Barrero"
"http://dbpedia.org/resource/Jia_Hongsheng","Jia Hongsheng"
"http://dbpedia.org/resource/Jim_Titus","Jim Titus"
"http://dbpedia.org/resource/Jimmy_Vee","Jimmy Vee"
"http://dbpedia.org/resource/Jimmy_Weldon","Jimmy Weldon"
"http://dbpedia.org/resource/Joe_Sawyer","Joe Sawyer"
"http://dbpedia.org/resource/Joem_Bascon","Joem Bascon"
"http://dbpedia.org/resource/Joey_Dedio","Joey Dedio"
"http://dbpedia.org/resource/John_Atterbury","John Atterbury"
"http://dbpedia.org/resource/John_Crawford_(actor)","John Crawford (actor)"
"http://dbpedia.org/resource/John_Elfström","John Elfström"
"http://dbpedia.org/resource/John_Stuart_(actor)","John Stuart (actor)"
"http://dbpedia.org/resource/Jordan_Metcalfe","Jordan Metcalfe"
"http://dbpedia.org/resource/Jorge_Aravena","Jorge Aravena"
"http://dbpedia.org/resource/Joseph_Perrino","Joseph Perrino"
"http://dbpedia.org/resource/Joseph_W._Girard","Joseph W. Girard"
"http://dbpedia.org/resource/Josh_Gad","Josh Gad"
"http://dbpedia.org/resource/Josh_Wise_(actor)","Josh Wise (actor)"
"http://dbpedia.org/resource/José_Isbert","José Isbert"
"http://dbpedia.org/resource/José_Sacristán","José Sacristán"
"http://dbpedia.org/resource/Jung_Jin-young_(actor)","Jung Jin-young (actor)"
"http://dbpedia.org/resource/Kazuhiro_Yamaji","Kazuhiro Yamaji"
"http://dbpedia.org/resource/Keith_Diamond_(actor)","Keith Diamond (actor)"
"http://dbpedia.org/resource/Ken_Hutchison","Ken Hutchison"
"http://dbpedia.org/resource/Kevin_Symons","Kevin Symons"
