"actor","name"
"http://dbpedia.org/resource/Edwina_Eustis_Dick","Edwina Eustis Dick"
"http://dbpedia.org/resource/Edyth_Walker","Edyth Walker"
"http://dbpedia.org/resource/Elaine_Bonazzi","Elaine Bonazzi"
"http://dbpedia.org/resource/Elena_Nikolaidi","Elena Nikolaidi"
"http://dbpedia.org/resource/Elizabeth_Bishop_(mezzo-soprano)","Elizabeth Bishop (mezzo-soprano)"
"http://dbpedia.org/resource/Elizabeth_Fischer_Monastero","Elizabeth Fischer Monastero"
"http://dbpedia.org/resource/Eric_Owens_(bass-baritone)","Eric Owens (bass-baritone)"
"http://dbpedia.org/resource/Eteri_Lamoris","Eteri Lamoris"
"http://dbpedia.org/resource/Ezio_Flagello","Ezio Flagello"
"http://dbpedia.org/resource/Florencia_Fabris","Florencia Fabris"
"http://dbpedia.org/resource/Heather_Engebretson","Heather Engebretson"
"http://dbpedia.org/resource/John_Fiorito","John Fiorito"
"http://dbpedia.org/resource/Hal_Landon_Jr.","Hal Landon Jr."
"http://dbpedia.org/resource/Isa_Kremer","Isa Kremer"
"http://dbpedia.org/resource/Kristaq_Paspali","Kristaq Paspali"
"http://dbpedia.org/resource/Louise_Le_Baron","Louise Le Baron"
"http://dbpedia.org/resource/Philip_Kraus","Philip Kraus"
"http://dbpedia.org/resource/Rosemary_Kuhlmann","Rosemary Kuhlmann"
"http://dbpedia.org/resource/Hina_Spani","Hina Spani"
"http://dbpedia.org/resource/Leonora_Sparkes","Leonora Sparkes"
"http://dbpedia.org/resource/Ryan_Speedo_Green","Ryan Speedo Green"
"http://dbpedia.org/resource/Skittles_Commercial:_The_Broadway_Musical","Skittles Commercial: The Broadway Musical"
"http://dbpedia.org/resource/Noel_Jan_Tyl","Noel Jan Tyl"
"http://dbpedia.org/resource/Stephen_Totter","Stephen Totter"
"http://dbpedia.org/resource/Thelma_Votipka","Thelma Votipka"
"http://dbpedia.org/resource/Thomas_Carey_(baritone)","Thomas Carey (baritone)"
"http://dbpedia.org/resource/Tim_Cunningham","Tim Cunningham"
"http://dbpedia.org/resource/Tribute_(play)","Tribute (play)"
"http://dbpedia.org/resource/William_Pearson_(baritone)","William Pearson (baritone)"
"http://dbpedia.org/resource/William_Stone_(baritone)","William Stone (baritone)"
"http://dbpedia.org/resource/William_Workman_(baritone)","William Workman (baritone)"
"http://dbpedia.org/resource/Giuseppina_Huguet","Giuseppina Huguet"
"http://dbpedia.org/resource/Gloria_Lane","Gloria Lane"
"http://dbpedia.org/resource/Gwendolyn_Jones","Gwendolyn Jones"
"http://dbpedia.org/resource/Theodor_Uppman","Theodor Uppman"
"http://dbpedia.org/resource/Jennifer_Larmore","Jennifer Larmore"
"http://dbpedia.org/resource/Julia_Weldon","Julia Weldon"
"http://dbpedia.org/resource/Thomas_Meglioranza","Thomas Meglioranza"
"http://dbpedia.org/resource/Reinald_Werrenrath","Reinald Werrenrath"
"http://dbpedia.org/resource/Joan_Wall","Joan Wall"
"http://dbpedia.org/resource/Mary_Mackenzie_(mezzo-soprano)","Mary Mackenzie (mezzo-soprano)"
"http://dbpedia.org/resource/Robert_Trehy","Robert Trehy"
"http://dbpedia.org/resource/Abbie_J._Wright","Abbie J. Wright"
"http://dbpedia.org/resource/Adelaida_Negri","Adelaida Negri"
"http://dbpedia.org/resource/Adelaide_Phillipps","Adelaide Phillipps"
"http://dbpedia.org/resource/Adriana_Gaviria","Adriana Gaviria"
"http://dbpedia.org/resource/Agnes_Huntington","Agnes Huntington"
"http://dbpedia.org/resource/Ainhoa_Arteta","Ainhoa Arteta"
"http://dbpedia.org/resource/Delores_Ziegler","Delores Ziegler"
"http://dbpedia.org/resource/Demi_Lovato","Demi Lovato"
"http://dbpedia.org/resource/Denyce_Graves","Denyce Graves"
"http://dbpedia.org/resource/Diane_Neal","Diane Neal"
"http://dbpedia.org/resource/Diganta_Hazarika","Diganta Hazarika"
"http://dbpedia.org/resource/Ed_Buck","Ed Buck"
"http://dbpedia.org/resource/Edna_Indermaur","Edna Indermaur"
"http://dbpedia.org/resource/Eleonora_de_Cisneros","Eleonora de Cisneros"
"http://dbpedia.org/resource/Eli_Brown","Eli Brown"
"http://dbpedia.org/resource/Ellar_Coltrane","Ellar Coltrane"
"http://dbpedia.org/resource/Harold_Vermilyea","Harold Vermilyea"
"http://dbpedia.org/resource/Harry_Burleigh","Harry Burleigh"
"http://dbpedia.org/resource/Haruka_Tomatsu","Haruka Tomatsu"
"http://dbpedia.org/resource/Harve_Presnell","Harve Presnell"
"http://dbpedia.org/resource/Hasmik_Papian","Hasmik Papian"
"http://dbpedia.org/resource/Haykanoush_Danielyan","Haykanoush Danielyan"
"http://dbpedia.org/resource/Helen_Gahagan_Douglas","Helen Gahagan Douglas"
"http://dbpedia.org/resource/Lech_Kaczyński","Lech Kaczyński"
"http://dbpedia.org/resource/Leon_Rains","Leon Rains"
"http://dbpedia.org/resource/Leslie_Nielsen","Leslie Nielsen"
"http://dbpedia.org/resource/Liam_Bonner","Liam Bonner"
"http://dbpedia.org/resource/Lili_Chookasian","Lili Chookasian"
"http://dbpedia.org/resource/Lillian_Lawrence","Lillian Lawrence"
"http://dbpedia.org/resource/Lindsay_Jones_(actor)","Lindsay Jones (actor)"
"http://dbpedia.org/resource/Lio_Tipton","Lio Tipton"
"http://dbpedia.org/resource/Charles_M._Barras","Charles M. Barras"
"http://dbpedia.org/resource/Chester_Lockhart","Chester Lockhart"
"http://dbpedia.org/resource/Chester_Ludgin","Chester Ludgin"
"http://dbpedia.org/resource/Chido_Nwokocha","Chido Nwokocha"
"http://dbpedia.org/resource/Susan_Quittmeyer","Susan Quittmeyer"
"http://dbpedia.org/resource/Sílvio_Nascimento","Sílvio Nascimento"
"http://dbpedia.org/resource/Trixie_Mattel","Trixie Mattel"
"http://dbpedia.org/resource/Troy_Kotsur","Troy Kotsur"
"http://dbpedia.org/resource/Tyrone_Giordano","Tyrone Giordano"
"http://dbpedia.org/resource/Tōru_Furuya","Tōru Furuya"
"http://dbpedia.org/resource/Delia_Rigal","Delia Rigal"
"http://dbpedia.org/resource/Delores_Ivory_Davis","Delores Ivory Davis"
"http://dbpedia.org/resource/Demoiselle_Conradi","Demoiselle Conradi"
"http://dbpedia.org/resource/Edna_Garabedian","Edna Garabedian"
"http://dbpedia.org/resource/Edna_de_Lima","Edna de Lima"
"http://dbpedia.org/resource/Edward_Foreman","Edward Foreman"
"http://dbpedia.org/resource/Edward_Langford","Edward Langford"
"http://dbpedia.org/resource/Edward_Matthews_(baritone)","Edward Matthews (baritone)"
"http://dbpedia.org/resource/Jason_Detwiler","Jason Detwiler"
"http://dbpedia.org/resource/Michele_Detwiler","Michele Detwiler"
"http://dbpedia.org/resource/Minnie_Egener","Minnie Egener"
"http://dbpedia.org/resource/The_Dresser","The Dresser"
"http://dbpedia.org/resource/Ganesh_Gogoi","Ganesh Gogoi"
"http://dbpedia.org/resource/Gohar_Gasparyan","Gohar Gasparyan"
"http://dbpedia.org/resource/Jan_DeGaetani","Jan DeGaetani"
"http://dbpedia.org/resource/Richard_Fredricks","Richard Fredricks"
"http://dbpedia.org/resource/Judith_Malafronte","Judith Malafronte"
"http://dbpedia.org/resource/Lorenzo_Malfatti","Lorenzo Malfatti"
"http://dbpedia.org/resource/Manis_(orangutan)","Manis (orangutan)"
"http://dbpedia.org/resource/Mercedes_Llopart","Mercedes Llopart"
"http://dbpedia.org/resource/Irra_Petina","Irra Petina"
"http://dbpedia.org/resource/Jiz_Lee","Jiz Lee"
"http://dbpedia.org/resource/Myron_W._Whitney","Myron W. Whitney"
"http://dbpedia.org/resource/Rod_Gilfry","Rod Gilfry"
"http://dbpedia.org/resource/Jonathan_Stinson","Jonathan Stinson"
"http://dbpedia.org/resource/Leonard_Warren","Leonard Warren"
"http://dbpedia.org/resource/Lois_Ewell","Lois Ewell"
"http://dbpedia.org/resource/Luis_Lima","Luis Lima"
"http://dbpedia.org/resource/Lillian_Russell","Lillian Russell"
"http://dbpedia.org/resource/Putnam_Griswold","Putnam Griswold"
