"veg","name"
"http://dbpedia.org/resource/Pickapeppa_Sauce","Pickapeppa Sauce"
"http://dbpedia.org/resource/Snow_Mountain_garlic","Snow Mountain garlic"
"http://dbpedia.org/resource/Brændende_kærlighed","Brændende kærlighed"
"http://dbpedia.org/resource/Ciambotta","Ciambotta"
"http://dbpedia.org/resource/Erythrina_edulis","Erythrina edulis"
"http://dbpedia.org/resource/Goeppertia_allouia","Goeppertia allouia"
"http://dbpedia.org/resource/Greener_Grass:_The_Famine_Years","Greener Grass: The Famine Years"
"http://dbpedia.org/resource/Ketoprak_(dish)","Ketoprak (dish)"
"http://dbpedia.org/resource/Korean_taco","Korean taco"
"http://dbpedia.org/resource/Sakurayu","Sakurayu"
"http://dbpedia.org/resource/Arroz_caldo","Arroz caldo"
"http://dbpedia.org/resource/Oenanthe_javanica","Oenanthe javanica"
"http://dbpedia.org/resource/Perideridia_gairdneri","Perideridia gairdneri"
"http://dbpedia.org/resource/Hunan_hand_syndrome","Hunan hand syndrome"
"http://dbpedia.org/resource/Kaeng_pa","Kaeng pa"
"http://dbpedia.org/resource/Khrenovina_sauce","Khrenovina sauce"
"http://dbpedia.org/resource/Piper_kadsura","Piper kadsura"
"http://dbpedia.org/resource/Tomato_compote","Tomato compote"
"http://dbpedia.org/resource/Trinxat","Trinxat"
"http://dbpedia.org/resource/Ulava_charu","Ulava charu"
"http://dbpedia.org/resource/Aloo_paratha","Aloo paratha"
"http://dbpedia.org/resource/Chifle","Chifle"
"http://dbpedia.org/resource/Curry_ketchup","Curry ketchup"
"http://dbpedia.org/resource/Lambda_(olive_oil)","Lambda (olive oil)"
"http://dbpedia.org/resource/Parkia_javanica","Parkia javanica"
"http://dbpedia.org/resource/Real_Crisps","Real Crisps"
"http://dbpedia.org/resource/Vankai","Vankai"
"http://dbpedia.org/resource/Aloo_mutter","Aloo mutter"
"http://dbpedia.org/resource/Princess_and_the_Popstar","Princess and the Popstar"
"http://dbpedia.org/resource/Red_slaw","Red slaw"
"http://dbpedia.org/resource/Sev_(food)","Sev (food)"
"http://dbpedia.org/resource/Tara_no_me","Tara no me"
"http://dbpedia.org/resource/Typha_orientalis","Typha orientalis"
"http://dbpedia.org/resource/Udo_(Japanese_plant)","Udo (Japanese plant)"
"http://dbpedia.org/resource/Aloo_gosht","Aloo gosht"
"http://dbpedia.org/resource/Blackheart_(plant_disease)","Blackheart (plant disease)"
"http://dbpedia.org/resource/Callos","Callos"
"http://dbpedia.org/resource/Ficelle_picarde","Ficelle picarde"
"http://dbpedia.org/resource/Guasanas","Guasanas"
"http://dbpedia.org/resource/History_of_the_potato","History of the potato"
"http://dbpedia.org/resource/Sesamum_radiatum","Sesamum radiatum"
"http://dbpedia.org/resource/Tahu_gejrot","Tahu gejrot"
"http://dbpedia.org/resource/Calypso_bean","Calypso bean"
"http://dbpedia.org/resource/Eru_(soup)","Eru (soup)"
"http://dbpedia.org/resource/Game_chips","Game chips"
"http://dbpedia.org/resource/Leek","Leek"
"http://dbpedia.org/resource/Pike_potato","Pike potato"
"http://dbpedia.org/resource/Squares_(crisps)","Squares (crisps)"
"http://dbpedia.org/resource/Utica_greens","Utica greens"
"http://dbpedia.org/resource/Buckeye_rot_of_tomato","Buckeye rot of tomato"
"http://dbpedia.org/resource/Halal_snack_pack","Halal snack pack"
"http://dbpedia.org/resource/Potato_Marketing_Corporation_of_Western_Australia","Potato Marketing Corporation of Western Australia"
"http://dbpedia.org/resource/Pumpkin_Spice_Latte","Pumpkin Spice Latte"
"http://dbpedia.org/resource/Ewa_Aganyin","Ewa Aganyin"
"http://dbpedia.org/resource/Jingtang_Lotus_Roots","Jingtang Lotus Roots"
