"pol","name"
"http://dbpedia.org/resource/A._F._Vandeventer","A. F. Vandeventer"
"http://dbpedia.org/resource/A._G._Bainbridge","A. G. Bainbridge"
"http://dbpedia.org/resource/A._G._Daniells","A. G. Daniells"
"http://dbpedia.org/resource/A._G._Lancione","A. G. Lancione"
"http://dbpedia.org/resource/A._G._Mathews","A. G. Mathews"
"http://dbpedia.org/resource/A._G._Mehta","A. G. Mehta"
"http://dbpedia.org/resource/A._G._Noorani","A. G. Noorani"
"http://dbpedia.org/resource/A._G._Stephen","A. G. Stephen"
"http://dbpedia.org/resource/A._Ganeshamurthi","A. Ganeshamurthi"
"http://dbpedia.org/resource/A._George_Pradel","A. George Pradel"
"http://dbpedia.org/resource/A._Gitesh_Sarma","A. Gitesh Sarma"
"http://dbpedia.org/resource/A._Grant_Evans","A. Grant Evans"
"http://dbpedia.org/resource/A._H._M._Azwer","A. H. M. Azwer"
"http://dbpedia.org/resource/A._H._M._Fowzie","A. H. M. Fowzie"
"http://dbpedia.org/resource/A._H._M._Hamidur_Rahman_Azad","A. H. M. Hamidur Rahman Azad"
"http://dbpedia.org/resource/A._H._M._Khairuzzaman_Liton","A. H. M. Khairuzzaman Liton"
"http://dbpedia.org/resource/A._H._Weatherford","A. H. Weatherford"
"http://dbpedia.org/resource/A._Harry_Moore","A. Harry Moore"
"http://dbpedia.org/resource/A._Homer_Byington","A. Homer Byington"
"http://dbpedia.org/resource/A._Hyatt_Smith","A. Hyatt Smith"
"http://dbpedia.org/resource/A._I._Adams","A. I. Adams"
"http://dbpedia.org/resource/A._I._Katsina-Alu","A. I. Katsina-Alu"
"http://dbpedia.org/resource/A._J._Crabill","A. J. Crabill"
"http://dbpedia.org/resource/A._J._DeMedio","A. J. DeMedio"
"http://dbpedia.org/resource/A._J._Gillbo","A. J. Gillbo"
"http://dbpedia.org/resource/A._J._Holloway","A. J. Holloway"
"http://dbpedia.org/resource/A._J._John","A. J. John"
"http://dbpedia.org/resource/A._J._M._Muzammil","A. J. M. Muzammil"
"http://dbpedia.org/resource/A._J._Mills_(politician)","A. J. Mills (politician)"
"http://dbpedia.org/resource/A._J._Mundella","A. J. Mundella"
"http://dbpedia.org/resource/A._J._Pardini","A. J. Pardini"
"http://dbpedia.org/resource/A._J._Ranasinghe","A. J. Ranasinghe"
"http://dbpedia.org/resource/A._J._Russell","A. J. Russell"
"http://dbpedia.org/resource/A._J._Sampson","A. J. Sampson"
"http://dbpedia.org/resource/A._J._Spiker","A. J. Spiker"
"http://dbpedia.org/resource/A._J._Thomas_Jr.","A. J. Thomas Jr."
"http://dbpedia.org/resource/A._J._W._McNeilly","A. J. W. McNeilly"
"http://dbpedia.org/resource/A._J._Witono","A. J. Witono"
"http://dbpedia.org/resource/A._James_Barnes","A. James Barnes"
"http://dbpedia.org/resource/A._James_Manchin","A. James Manchin"
"http://dbpedia.org/resource/A._Jay_Cristol","A. Jay Cristol"
"http://dbpedia.org/resource/A._Jean_de_Grandpré","A. Jean de Grandpré"
"http://dbpedia.org/resource/A._Jeff_McLemore","A. Jeff McLemore"
"http://dbpedia.org/resource/A._Joe_Canada_Jr.","A. Joe Canada Jr."
"http://dbpedia.org/resource/A._Joe_Fish","A. Joe Fish"
"http://dbpedia.org/resource/A._Johnkumar","A. Johnkumar"
"http://dbpedia.org/resource/A._Joseph_DeNucci","A. Joseph DeNucci"
"http://dbpedia.org/resource/A._Joseph_Valicenti","A. Joseph Valicenti"
"http://dbpedia.org/resource/A._K._A._Abdul_Samad","A. K. A. Abdul Samad"
"http://dbpedia.org/resource/A._K._A._Firoze_Noon","A. K. A. Firoze Noon"
"http://dbpedia.org/resource/A._K._Antony","A. K. Antony"
"http://dbpedia.org/resource/A._K._B._Ampiah","A. K. B. Ampiah"
"http://dbpedia.org/resource/A._K._Balan","A. K. Balan"
"http://dbpedia.org/resource/A._K._Chandran","A. K. Chandran"
"http://dbpedia.org/resource/A._K._Chesterton","A. K. Chesterton"
"http://dbpedia.org/resource/A._K._Fazlul_Huq","A. K. Fazlul Huq"
"http://dbpedia.org/resource/A._K._Gopalan","A. K. Gopalan"
"http://dbpedia.org/resource/A._K._Jayasankaran_Nambiar","A. K. Jayasankaran Nambiar"
"http://dbpedia.org/resource/A._K._Khandker","A. K. Khandker"
"http://dbpedia.org/resource/A._K._Konuah","A. K. Konuah"
"http://dbpedia.org/resource/A._K._M._A._Awal_Saydur_Rahman","A. K. M. A. Awal Saydur Rahman"
"http://dbpedia.org/resource/A._K._M._Ashraf","A. K. M. Ashraf"
"http://dbpedia.org/resource/A._K._M._Bahauddin","A. K. M. Bahauddin"
"http://dbpedia.org/resource/A._K._M._Mosharraf_Hossain","A. K. M. Mosharraf Hossain"
"http://dbpedia.org/resource/A._K._M._Nurul_Islam","A. K. M. Nurul Islam"
"http://dbpedia.org/resource/A._K._M._Sadeq","A. K. M. Sadeq"
"http://dbpedia.org/resource/A._K._M._Sirazul_Islam_Khan","A. K. M. Sirazul Islam Khan"
"http://dbpedia.org/resource/A._K._Moorthy","A. K. Moorthy"
"http://dbpedia.org/resource/A._K._N._Ahmed","A. K. N. Ahmed"
