"author","name"
"http://dbpedia.org/resource/H._Russell_Wakefield","H. Russell Wakefield"
"http://dbpedia.org/resource/Julius_Frauenstädt","Julius Frauenstädt"
"http://dbpedia.org/resource/List_of_Tosafists","List of Tosafists"
"http://dbpedia.org/resource/Paul_Rosenfeld","Paul Rosenfeld"
"http://dbpedia.org/resource/Politics_and_Letters:_Interviews_with_New_Left_Review","Politics and Letters: Interviews with New Left Review"
"http://dbpedia.org/resource/Sarah_Trimmer","Sarah Trimmer"
"http://dbpedia.org/resource/William_Peterfield_Trent","William Peterfield Trent"
"http://dbpedia.org/resource/Benjamin_Farrington","Benjamin Farrington"
"http://dbpedia.org/resource/Ernest_Scott","Ernest Scott"
"http://dbpedia.org/resource/George_Bryce","George Bryce"
"http://dbpedia.org/resource/Lais_of_Hyccara","Lais of Hyccara"
"http://dbpedia.org/resource/Ludwig_Friedländer","Ludwig Friedländer"
"http://dbpedia.org/resource/Samuel_Thompson_(newspaper_editor)","Samuel Thompson (newspaper editor)"
"http://dbpedia.org/resource/Zsigmond_Bródy","Zsigmond Bródy"
"http://dbpedia.org/resource/Alma_Siedhoff-Buscher","Alma Siedhoff-Buscher"
"http://dbpedia.org/resource/Bhai_Lakhi_Rai_Banjara","Bhai Lakhi Rai Banjara"
"http://dbpedia.org/resource/Boris_Kozo-Polyansky","Boris Kozo-Polyansky"
"http://dbpedia.org/resource/Burgess_Carr","Burgess Carr"
"http://dbpedia.org/resource/Colleen_Willoughby","Colleen Willoughby"
"http://dbpedia.org/resource/Dominick_Reyes","Dominick Reyes"
"http://dbpedia.org/resource/Dora_Bromberger","Dora Bromberger"
"http://dbpedia.org/resource/Douglas_Wilson_(RAAF_officer)","Douglas Wilson (RAAF officer)"
"http://dbpedia.org/resource/Edmund_Hazle","Edmund Hazle"
"http://dbpedia.org/resource/Edward_Middleton","Edward Middleton"
"http://dbpedia.org/resource/Enrico_Miglioranzi","Enrico Miglioranzi"
"http://dbpedia.org/resource/Gene_Grabeel","Gene Grabeel"
"http://dbpedia.org/resource/Grace_Dean_Rogers","Grace Dean Rogers"
"http://dbpedia.org/resource/Hattie_Tyng_Griswold","Hattie Tyng Griswold"
"http://dbpedia.org/resource/Heather_Booth","Heather Booth"
"http://dbpedia.org/resource/John_Strejan","John Strejan"
"http://dbpedia.org/resource/Milly_Steger","Milly Steger"
"http://dbpedia.org/resource/Muse_Rabile_Ghod","Muse Rabile Ghod"
"http://dbpedia.org/resource/Nalbro_Bartley","Nalbro Bartley"
"http://dbpedia.org/resource/Nasser_Zefzafi","Nasser Zefzafi"
"http://dbpedia.org/resource/Prudence_Nobantu_Mabele","Prudence Nobantu Mabele"
"http://dbpedia.org/resource/Raja_Chari","Raja Chari"
"http://dbpedia.org/resource/Robert_Hines_(astronaut)","Robert Hines (astronaut)"
"http://dbpedia.org/resource/Sixto_Paz_Wells","Sixto Paz Wells"
"http://dbpedia.org/resource/Stella_Court_Treatt","Stella Court Treatt"
"http://dbpedia.org/resource/Suzanne_Lapointe","Suzanne Lapointe"
"http://dbpedia.org/resource/Warren_Hoburg","Warren Hoburg"
"http://dbpedia.org/resource/Zena_Cardman","Zena Cardman"
"http://dbpedia.org/resource/Adolf_Beck_(physiologist)","Adolf Beck (physiologist)"
"http://dbpedia.org/resource/Dow_Ber_Meisels","Dow Ber Meisels"
"http://dbpedia.org/resource/Mark_Whitney_Mehran","Mark Whitney Mehran"
"http://dbpedia.org/resource/Sydney_Richmond_Burleigh","Sydney Richmond Burleigh"
"http://dbpedia.org/resource/Thor_Støre","Thor Støre"
"http://dbpedia.org/resource/Apollas","Apollas"
"http://dbpedia.org/resource/Dead_Cert_(novel)","Dead Cert (novel)"
"http://dbpedia.org/resource/Vampire_Academy","Vampire Academy"
"http://dbpedia.org/resource/Albucilla","Albucilla"
"http://dbpedia.org/resource/George_Storrs","George Storrs"
"http://dbpedia.org/resource/Max_Carrados","Max Carrados"
"http://dbpedia.org/resource/Reginald_John_Godfrey_Bateman","Reginald John Godfrey Bateman"
"http://dbpedia.org/resource/William_MacLeod_Raine","William MacLeod Raine"
"http://dbpedia.org/resource/Alexius_of_Nicaea","Alexius of Nicaea"
"http://dbpedia.org/resource/Aufidius_Namusa","Aufidius Namusa"
"http://dbpedia.org/resource/Jeffrey_Shaw","Jeffrey Shaw"
"http://dbpedia.org/resource/John_Christmas_Beckwith","John Christmas Beckwith"
"http://dbpedia.org/resource/John_Wilmot_(politician)","John Wilmot (politician)"
"http://dbpedia.org/resource/Ernest_Alfred_Vizetelly","Ernest Alfred Vizetelly"
"http://dbpedia.org/resource/Alexander_Lanskoy","Alexander Lanskoy"
"http://dbpedia.org/resource/Allen_B._Wilson","Allen B. Wilson"
"http://dbpedia.org/resource/Arthur_Duncan-Jones","Arthur Duncan-Jones"
"http://dbpedia.org/resource/Franz_Hessel","Franz Hessel"
"http://dbpedia.org/resource/Fritzi_Ritz","Fritzi Ritz"
"http://dbpedia.org/resource/Lucius_Carvilius","Lucius Carvilius"
"http://dbpedia.org/resource/Spurius_Carvilius_(tribune)","Spurius Carvilius (tribune)"
"http://dbpedia.org/resource/Berechiah_de_Nicole","Berechiah de Nicole"
"http://dbpedia.org/resource/Charles_Sanford_Terry_(historian)","Charles Sanford Terry (historian)"
"http://dbpedia.org/resource/Moses_ben_Isaac_ben_ha-Nessiah","Moses ben Isaac ben ha-Nessiah"
"http://dbpedia.org/resource/My_Name_Is_Brain_Brian","My Name Is Brain Brian"
"http://dbpedia.org/resource/Adolf_Rosenzweig","Adolf Rosenzweig"
"http://dbpedia.org/resource/Cleon_(sculptor)","Cleon (sculptor)"
"http://dbpedia.org/resource/Dead_Air_(Doctor_Who)","Dead Air (Doctor Who)"
"http://dbpedia.org/resource/Hera_Ammonia","Hera Ammonia"
"http://dbpedia.org/resource/Hyrmine","Hyrmine"
"http://dbpedia.org/resource/Hyrnetho","Hyrnetho"
"http://dbpedia.org/resource/Hystaspes_(father_of_Darius_I)","Hystaspes (father of Darius I)"
"http://dbpedia.org/resource/James_Yoxall","James Yoxall"
"http://dbpedia.org/resource/William_Brown_Meloney_(1878–1925)","William Brown Meloney (1878–1925)"
"http://dbpedia.org/resource/Ezra_P._Ewers","Ezra P. Ewers"
"http://dbpedia.org/resource/George_Alexander_Kohut","George Alexander Kohut"
"http://dbpedia.org/resource/Harvard_ROTC","Harvard ROTC"
"http://dbpedia.org/resource/Henry_Gilbert_(author)","Henry Gilbert (author)"
"http://dbpedia.org/resource/Isaac_Karo","Isaac Karo"
"http://dbpedia.org/resource/Monkey_Beach","Monkey Beach"
"http://dbpedia.org/resource/Rudolf_Besier","Rudolf Besier"
"http://dbpedia.org/resource/Woldemar_von_Biedermann","Woldemar von Biedermann"
"http://dbpedia.org/resource/Clara_Bell","Clara Bell"
"http://dbpedia.org/resource/Nikolaus_Decius","Nikolaus Decius"
"http://dbpedia.org/resource/Ananius","Ananius"
"http://dbpedia.org/resource/Andronicus_(physician)","Andronicus (physician)"
"http://dbpedia.org/resource/Andronicus_(poet)","Andronicus (poet)"
"http://dbpedia.org/resource/Andronicus_of_Macedonia","Andronicus of Macedonia"
"http://dbpedia.org/resource/Andronicus_of_Olynthus","Andronicus of Olynthus"
"http://dbpedia.org/resource/Andronicus_of_Pergamum","Andronicus of Pergamum"
"http://dbpedia.org/resource/Antonius_Castor","Antonius Castor"
"http://dbpedia.org/resource/Apollodorus_(general)","Apollodorus (general)"
"http://dbpedia.org/resource/Apollodorus_(jurist)","Apollodorus (jurist)"
"http://dbpedia.org/resource/Apollodorus_(physician)","Apollodorus (physician)"
"http://dbpedia.org/resource/Apollodorus_(sculptor)","Apollodorus (sculptor)"
"http://dbpedia.org/resource/Apollodorus_Logisticus","Apollodorus Logisticus"
"http://dbpedia.org/resource/Apollodorus_Pyragrus","Apollodorus Pyragrus"
"http://dbpedia.org/resource/Apollodorus_of_Amphipolis","Apollodorus of Amphipolis"
"http://dbpedia.org/resource/Apollodorus_of_Boeotia","Apollodorus of Boeotia"
"http://dbpedia.org/resource/Apollodorus_of_Cumae","Apollodorus of Cumae"
"http://dbpedia.org/resource/Apollodorus_of_Cyrene","Apollodorus of Cyrene"
"http://dbpedia.org/resource/Apollodorus_of_Nicaea","Apollodorus of Nicaea"
"http://dbpedia.org/resource/Apollodorus_of_Susiana","Apollodorus of Susiana"
"http://dbpedia.org/resource/Apollodorus_of_Tarsus","Apollodorus of Tarsus"
"http://dbpedia.org/resource/Quincy_(comic_strip)","Quincy (comic strip)"
"http://dbpedia.org/resource/Winthrop_(comic_strip)","Winthrop (comic strip)"
"http://dbpedia.org/resource/Antigonus,_son_of_Echecrates","Antigonus, son of Echecrates"
"http://dbpedia.org/resource/Antigonus_(historian)","Antigonus (historian)"
"http://dbpedia.org/resource/Antigonus_(physician)","Antigonus (physician)"
"http://dbpedia.org/resource/Antigonus_(sculptor)","Antigonus (sculptor)"
"http://dbpedia.org/resource/Antigonus_of_Alexandria","Antigonus of Alexandria"
"http://dbpedia.org/resource/Antigonus_of_Cumae","Antigonus of Cumae"
"http://dbpedia.org/resource/Antipater_(astrologer)","Antipater (astrologer)"
