"usTech","name"
"http://dbpedia.org/resource/The_Flintstones:_Fred's_Final_Fling","The Flintstones: Fred's Final Fling"
"http://dbpedia.org/resource/The_Flintstones:_Jogging_Fever","The Flintstones: Jogging Fever"
"http://dbpedia.org/resource/The_Flintstones:_Little_Big_League","The Flintstones: Little Big League"
"http://dbpedia.org/resource/The_Flintstones:_Wind-Up_Wilma","The Flintstones: Wind-Up Wilma"
"http://dbpedia.org/resource/The_New_Release","The New Release"
"http://dbpedia.org/resource/The_One_I_Love_(David_Gray_song)","The One I Love (David Gray song)"
"http://dbpedia.org/resource/The_Unhanged","The Unhanged"
"http://dbpedia.org/resource/To_Market,_to_Market_(Sex_and_the_City)","To Market, to Market (Sex and the City)"
"http://dbpedia.org/resource/Tom_McGrath_(animator)","Tom McGrath (animator)"
"http://dbpedia.org/resource/Victoria_Beckham:_Coming_to_America","Victoria Beckham: Coming to America"
"http://dbpedia.org/resource/Wild,_Wild_West_(The_Escape_Club_song)","Wild, Wild West (The Escape Club song)"
"http://dbpedia.org/resource/William_Reeves_(animator)","William Reeves (animator)"
"http://dbpedia.org/resource/Witch's_Night_Out","Witch's Night Out"
"http://dbpedia.org/resource/Wolves_(Idiot_Pilot_album)","Wolves (Idiot Pilot album)"
"http://dbpedia.org/resource/Work_That_Magic","Work That Magic"
"http://dbpedia.org/resource/You_Are_the_Woman","You Are the Woman"
"http://dbpedia.org/resource/You_Were_Meant_for_Me_(Jewel_song)","You Were Meant for Me (Jewel song)"
"http://dbpedia.org/resource/2010_FIFA_World_Cup_South_Africa_(video_game)","2010 FIFA World Cup South Africa (video game)"
"http://dbpedia.org/resource/7_Khoon_Maaf","7 Khoon Maaf"
"http://dbpedia.org/resource/Afro-Bossa","Afro-Bossa"
"http://dbpedia.org/resource/Airplanes_(song)","Airplanes (song)"
"http://dbpedia.org/resource/Appomattox_(statue)","Appomattox (statue)"
"http://dbpedia.org/resource/Asylum_(Disturbed_album)","Asylum (Disturbed album)"
"http://dbpedia.org/resource/Batman:_Under_the_Red_Hood","Batman: Under the Red Hood"
"http://dbpedia.org/resource/Bell_Flavors_&_Fragrances","Bell Flavors & Fragrances"
"http://dbpedia.org/resource/Bet_I","Bet I"
"http://dbpedia.org/resource/Between_the_Lines_(Stone_Temple_Pilots_song)","Between the Lines (Stone Temple Pilots song)"
"http://dbpedia.org/resource/Branford_Marsalis","Branford Marsalis"
"http://dbpedia.org/resource/Bring_'Em_Back_Alive_(film)","Bring 'Em Back Alive (film)"
"http://dbpedia.org/resource/Charice_(album)","Charice (album)"
"http://dbpedia.org/resource/Check_It_Out!_with_Dr._Steve_Brule","Check It Out! with Dr. Steve Brule"
"http://dbpedia.org/resource/Christiaan_Van_Vuuren","Christiaan Van Vuuren"
"http://dbpedia.org/resource/Concert_in_the_Virgin_Islands","Concert in the Virgin Islands"
"http://dbpedia.org/resource/Confederate_Monument_(Portsmouth,_Virginia)","Confederate Monument (Portsmouth, Virginia)"
"http://dbpedia.org/resource/Dance_with_Me_(Alphaville_song)","Dance with Me (Alphaville song)"
"http://dbpedia.org/resource/Dell_Compellent","Dell Compellent"
"http://dbpedia.org/resource/Demetrious_Johnson","Demetrious Johnson"
"http://dbpedia.org/resource/Demons_to_Diamonds","Demons to Diamonds"
"http://dbpedia.org/resource/Diamond_Eyes","Diamond Eyes"
"http://dbpedia.org/resource/Donald_Ashworth","Donald Ashworth"
"http://dbpedia.org/resource/Dragnet_(radio_series)","Dragnet (radio series)"
"http://dbpedia.org/resource/Drip_Dippy_Donald","Drip Dippy Donald"
"http://dbpedia.org/resource/Duke_Ellington_Plays_Mary_Poppins","Duke Ellington Plays Mary Poppins"
"http://dbpedia.org/resource/El_Terrible_Toreador","El Terrible Toreador"
"http://dbpedia.org/resource/Ellington_'65","Ellington '65"
"http://dbpedia.org/resource/Ellington_'66","Ellington '66"
"http://dbpedia.org/resource/F1_2002_(video_game)","F1 2002 (video game)"
"http://dbpedia.org/resource/FIFA_11","FIFA 11"
"http://dbpedia.org/resource/Freak_(Estelle_song)","Freak (Estelle song)"
"http://dbpedia.org/resource/Frogger_Returns","Frogger Returns"
"http://dbpedia.org/resource/Good_to_Be_Me","Good to Be Me"
"http://dbpedia.org/resource/Hard-Hat_Domo","Hard-Hat Domo"
"http://dbpedia.org/resource/Harry_Houdini_(song)","Harry Houdini (song)"
"http://dbpedia.org/resource/How_Do_You_Know%3F","How Do You Know?"
"http://dbpedia.org/resource/I'm_Back_(song)","I'm Back (song)"
"http://dbpedia.org/resource/I've_Gotta_Be_Me_(Sammy_Davis_Jr._album)","I've Gotta Be Me (Sammy Davis Jr. album)"
"http://dbpedia.org/resource/I_Beg_Your_Pardon","I Beg Your Pardon"
"http://dbpedia.org/resource/Intersect_(video_game)","Intersect (video game)"
"http://dbpedia.org/resource/Jet_Set_(song)","Jet Set (song)"
"http://dbpedia.org/resource/Make_My_Heart","Make My Heart"
"http://dbpedia.org/resource/Metapedia","Metapedia"
"http://dbpedia.org/resource/Mojo_(Tom_Petty_and_the_Heartbreakers_album)","Mojo (Tom Petty and the Heartbreakers album)"
"http://dbpedia.org/resource/Moto_Racer_3","Moto Racer 3"
"http://dbpedia.org/resource/Over_the_Hills_and_Far_Away_(Led_Zeppelin_song)","Over the Hills and Far Away (Led Zeppelin song)"
"http://dbpedia.org/resource/Phineas_and_Ferb_the_Movie:_Across_the_2nd_Dimension","Phineas and Ferb the Movie: Across the 2nd Dimension"
"http://dbpedia.org/resource/Photo_Dojo","Photo Dojo"
"http://dbpedia.org/resource/PictureBook_Games:_The_Royal_Bluff","PictureBook Games: The Royal Bluff"
"http://dbpedia.org/resource/Randy_Thom","Randy Thom"
"http://dbpedia.org/resource/Recollections_of_the_Big_Band_Era","Recollections of the Big Band Era"
"http://dbpedia.org/resource/Red_Letter_Media","Red Letter Media"
"http://dbpedia.org/resource/Red_Rose_(song)","Red Rose (song)"
"http://dbpedia.org/resource/Robin_and_the_7_Hoods_(album)","Robin and the 7 Hoods (album)"
"http://dbpedia.org/resource/Roger_Enrico","Roger Enrico"
"http://dbpedia.org/resource/Rugby_(video_game)","Rugby (video game)"
"http://dbpedia.org/resource/Shane_Dawson","Shane Dawson"
"http://dbpedia.org/resource/Shaun_the_Sheep_(video_game)","Shaun the Sheep (video game)"
"http://dbpedia.org/resource/She_Got_It_Made_(song)","She Got It Made (song)"
"http://dbpedia.org/resource/So_Sexy","So Sexy"
"http://dbpedia.org/resource/So_Sexy_Chapter_II_(Like_This)","So Sexy Chapter II (Like This)"
"http://dbpedia.org/resource/Sunshine_(Twista_song)","Sunshine (Twista song)"
"http://dbpedia.org/resource/Superbike_2001","Superbike 2001"
"http://dbpedia.org/resource/Taxi_(Bryan_Ferry_album)","Taxi (Bryan Ferry album)"
"http://dbpedia.org/resource/Teddy_Campbell","Teddy Campbell"
"http://dbpedia.org/resource/Tennessee_Coal,_Iron_&_Railroad_Co._v._Muscoda_Local_No._123","Tennessee Coal, Iron & Railroad Co. v. Muscoda Local No. 123"
"http://dbpedia.org/resource/Thank_You_(2011_film)","Thank You (2011 film)"
"http://dbpedia.org/resource/The_China_Shop","The China Shop"
"http://dbpedia.org/resource/The_Crow_&_the_Butterfly","The Crow & the Butterfly"
"http://dbpedia.org/resource/The_Symphonic_Ellington","The Symphonic Ellington"
"http://dbpedia.org/resource/The_Witness_(2016_video_game)","The Witness (2016 video game)"
"http://dbpedia.org/resource/Tiger_Woods_PGA_Tour_11","Tiger Woods PGA Tour 11"
"http://dbpedia.org/resource/Tonight_Starring_Jack_Paar","Tonight Starring Jack Paar"
"http://dbpedia.org/resource/Turn_It_On_Again","Turn It On Again"
"http://dbpedia.org/resource/Udaan_(2010_film)","Udaan (2010 film)"
"http://dbpedia.org/resource/Walt_Dohrn","Walt Dohrn"
"http://dbpedia.org/resource/We_Are_Family_(2010_film)","We Are Family (2010 film)"
"http://dbpedia.org/resource/X-Scape","X-Scape"
"http://dbpedia.org/resource/Young_Justice_(TV_series)","Young Justice (TV series)"
"http://dbpedia.org/resource/Zeus_(DC_Comics)","Zeus (DC Comics)"
"http://dbpedia.org/resource/Zokkomon","Zokkomon"
"http://dbpedia.org/resource/1001_Crystal_Mazes_Collection","1001 Crystal Mazes Collection"
"http://dbpedia.org/resource/101_Shark_Pets","101 Shark Pets"
"http://dbpedia.org/resource/A_Game_of_Concentration","A Game of Concentration"
"http://dbpedia.org/resource/Allie_(wrestler)","Allie (wrestler)"
"http://dbpedia.org/resource/American_Matador","American Matador"
"http://dbpedia.org/resource/As_She's_Walking_Away","As She's Walking Away"
"http://dbpedia.org/resource/Avatar_3","Avatar 3"
"http://dbpedia.org/resource/Ball_Fighter","Ball Fighter"
"http://dbpedia.org/resource/Barfi!","Barfi!"
"http://dbpedia.org/resource/Battlestar_Galactica:_Blood_&_Chrome","Battlestar Galactica: Blood & Chrome"
"http://dbpedia.org/resource/CPL_Resources","CPL Resources"
"http://dbpedia.org/resource/Camp_Rock_2:_The_Final_Jam_(soundtrack)","Camp Rock 2: The Final Jam (soundtrack)"
"http://dbpedia.org/resource/Casanova_(LeVert_song)","Casanova (LeVert song)"
"http://dbpedia.org/resource/Charles_Kuta","Charles Kuta"
"http://dbpedia.org/resource/Clapton_(2010_album)","Clapton (2010 album)"
"http://dbpedia.org/resource/Cricket_(video_game_series)","Cricket (video game series)"
"http://dbpedia.org/resource/Dan_Brown_(blogger)","Dan Brown (blogger)"
