"lake","name"
"http://dbpedia.org/resource/Lake_Cascade","Lake Cascade"
"http://dbpedia.org/resource/Lake_Cheko","Lake Cheko"
"http://dbpedia.org/resource/Lake_Connewarre","Lake Connewarre"
"http://dbpedia.org/resource/Lake_Elmore","Lake Elmore"
"http://dbpedia.org/resource/Lake_Francis_Case","Lake Francis Case"
"http://dbpedia.org/resource/Lake_Galena_(Illinois)","Lake Galena (Illinois)"
"http://dbpedia.org/resource/Lake_George_(New_Brunswick)","Lake George (New Brunswick)"
"http://dbpedia.org/resource/Lake_Glenn_Shoals","Lake Glenn Shoals"
"http://dbpedia.org/resource/Lake_Gogebic","Lake Gogebic"
"http://dbpedia.org/resource/Lake_Holiday,_Virginia","Lake Holiday, Virginia"
"http://dbpedia.org/resource/Lake_Joondalup","Lake Joondalup"
"http://dbpedia.org/resource/Lake_Kasumigaura","Lake Kasumigaura"
"http://dbpedia.org/resource/Lake_Khasan","Lake Khasan"
"http://dbpedia.org/resource/Lake_Kuş","Lake Kuş"
"http://dbpedia.org/resource/Lake_Mackintosh","Lake Mackintosh"
"http://dbpedia.org/resource/Lake_Manguao","Lake Manguao"
"http://dbpedia.org/resource/Lake_Mattoon","Lake Mattoon"
"http://dbpedia.org/resource/Lake_No","Lake No"
"http://dbpedia.org/resource/Lake_Pillsbury","Lake Pillsbury"
"http://dbpedia.org/resource/Lake_Piru","Lake Piru"
"http://dbpedia.org/resource/Lake_Sary-Chelek","Lake Sary-Chelek"
"http://dbpedia.org/resource/Lake_Siriu","Lake Siriu"
"http://dbpedia.org/resource/Lake_Taylorville","Lake Taylorville"
"http://dbpedia.org/resource/Lake_Tobesofkee","Lake Tobesofkee"
"http://dbpedia.org/resource/Lake_Vermilion_(Illinois)","Lake Vermilion (Illinois)"
"http://dbpedia.org/resource/Lake_Wanahoo","Lake Wanahoo"
"http://dbpedia.org/resource/Lake_Wickenden","Lake Wickenden"
"http://dbpedia.org/resource/Lisi_Lake","Lisi Lake"
"http://dbpedia.org/resource/Little_Grassy_Lake_(Illinois)","Little Grassy Lake (Illinois)"
"http://dbpedia.org/resource/Llyn_Bodgynydd","Llyn Bodgynydd"
"http://dbpedia.org/resource/Llyn_Glangors","Llyn Glangors"
"http://dbpedia.org/resource/Llyn_Goddionduon","Llyn Goddionduon"
"http://dbpedia.org/resource/Llyn_Parc","Llyn Parc"
"http://dbpedia.org/resource/Loch_Assynt","Loch Assynt"
"http://dbpedia.org/resource/Long_Pond_(Plymouth,_Massachusetts)","Long Pond (Plymouth, Massachusetts)"
"http://dbpedia.org/resource/Loon_Lake_(Lake_County,_Illinois)","Loon Lake (Lake County, Illinois)"
"http://dbpedia.org/resource/Lost_Lake_(California)","Lost Lake (California)"
"http://dbpedia.org/resource/Lost_Lake_(Whistler)","Lost Lake (Whistler)"
"http://dbpedia.org/resource/Lough_Hyne","Lough Hyne"
"http://dbpedia.org/resource/Lough_Oughter","Lough Oughter"
"http://dbpedia.org/resource/Lough_Tay","Lough Tay"
"http://dbpedia.org/resource/Lower_Nihotupu_Reservoir","Lower Nihotupu Reservoir"
"http://dbpedia.org/resource/Ludaš_Lake","Ludaš Lake"
"http://dbpedia.org/resource/Manitou_Lake_(Saskatchewan)","Manitou Lake (Saskatchewan)"
"http://dbpedia.org/resource/Melchsee","Melchsee"
"http://dbpedia.org/resource/Micajah_Pond_(Massachusetts)","Micajah Pond (Massachusetts)"
"http://dbpedia.org/resource/Mirror_Lake_(California)","Mirror Lake (California)"
"http://dbpedia.org/resource/Newnans_Lake","Newnans Lake"
"http://dbpedia.org/resource/Nong_Han_Kumphawapi_Lake","Nong Han Kumphawapi Lake"
"http://dbpedia.org/resource/Oologah_Lake","Oologah Lake"
"http://dbpedia.org/resource/Orielton_Lagoon","Orielton Lagoon"
"http://dbpedia.org/resource/Osoyoos_Lake","Osoyoos Lake"
"http://dbpedia.org/resource/Paravani_Lake","Paravani Lake"
"http://dbpedia.org/resource/Pewaukee_Lake","Pewaukee Lake"
"http://dbpedia.org/resource/Phantom_Lake","Phantom Lake"
"http://dbpedia.org/resource/Poudre_Lake","Poudre Lake"
"http://dbpedia.org/resource/Princess_Louisa_Inlet","Princess Louisa Inlet"
"http://dbpedia.org/resource/Ranger_Lake","Ranger Lake"
"http://dbpedia.org/resource/Rapel_Lake","Rapel Lake"
"http://dbpedia.org/resource/Recoleta_Dam","Recoleta Dam"
"http://dbpedia.org/resource/Red_Lake_(Douglas_County,_Wisconsin)","Red Lake (Douglas County, Wisconsin)"
"http://dbpedia.org/resource/Red_Lake_(Orlando)","Red Lake (Orlando)"
"http://dbpedia.org/resource/Red_Lake_(Romania)","Red Lake (Romania)"
"http://dbpedia.org/resource/Reschensee","Reschensee"
