"fur","name"
"http://dbpedia.org/resource/Garden_furniture","Garden furniture"
"http://dbpedia.org/resource/Étagère","Étagère"
"http://dbpedia.org/resource/Refinishing","Refinishing"
"http://dbpedia.org/resource/Hatstand","Hatstand"
"http://dbpedia.org/resource/Gjernes","Gjernes"
"http://dbpedia.org/resource/Softwall","Softwall"
"http://dbpedia.org/resource/Drawer","Drawer"
"http://dbpedia.org/resource/Bookwheel","Bookwheel"
"http://dbpedia.org/resource/Blackamoor_(decorative_arts)","Blackamoor (decorative arts)"
"http://dbpedia.org/resource/Court_cupboard","Court cupboard"
"http://dbpedia.org/resource/Supersalone","Supersalone"
"http://dbpedia.org/resource/Baker's_rack","Baker's rack"
"http://dbpedia.org/resource/Cabriole_leg","Cabriole leg"
"http://dbpedia.org/resource/Lyre_arm","Lyre arm"
"http://dbpedia.org/resource/Spindle_(furniture)","Spindle (furniture)"
"http://dbpedia.org/resource/Beach_furniture","Beach furniture"
"http://dbpedia.org/resource/Monks_bench","Monks bench"
"http://dbpedia.org/resource/Welsh_dresser","Welsh dresser"
"http://dbpedia.org/resource/Pie_safe","Pie safe"
"http://dbpedia.org/resource/Animal_furniture","Animal furniture"
"http://dbpedia.org/resource/Baby_furniture","Baby furniture"
"http://dbpedia.org/resource/Pritam_&_Eames","Pritam & Eames"
"http://dbpedia.org/resource/Conservation_and_restoration_of_wooden_furniture","Conservation and restoration of wooden furniture"
"http://dbpedia.org/resource/Furniture_preservation","Furniture preservation"
"http://dbpedia.org/resource/Cupboard","Cupboard"
"http://dbpedia.org/resource/Lowboy","Lowboy"
"http://dbpedia.org/resource/Credenza","Credenza"
"http://dbpedia.org/resource/Playpen","Playpen"
"http://dbpedia.org/resource/Brasero_(heater)","Brasero (heater)"
"http://dbpedia.org/resource/Roll-out_shelf","Roll-out shelf"
"http://dbpedia.org/resource/Mästermyr_chest","Mästermyr chest"
"http://dbpedia.org/resource/Furniture_&_Home_Improvement_Ombudsman","Furniture & Home Improvement Ombudsman"
"http://dbpedia.org/resource/Caning_(furniture)","Caning (furniture)"
"http://dbpedia.org/resource/Commode","Commode"
"http://dbpedia.org/resource/Antimacassar","Antimacassar"
"http://dbpedia.org/resource/Log_furniture","Log furniture"
"http://dbpedia.org/resource/Deckchair","Deckchair"
"http://dbpedia.org/resource/Entertainment_center","Entertainment center"
"http://dbpedia.org/resource/Guéridon","Guéridon"
"http://dbpedia.org/resource/What-not","What-not"
"http://dbpedia.org/resource/Shaker_furniture","Shaker furniture"
"http://dbpedia.org/resource/Butler's_desk","Butler's desk"
"http://dbpedia.org/resource/Teak_furniture","Teak furniture"
"http://dbpedia.org/resource/Sex_swing","Sex swing"
"http://dbpedia.org/resource/Asian_furniture","Asian furniture"
"http://dbpedia.org/resource/Hutch_(furniture)","Hutch (furniture)"
"http://dbpedia.org/resource/Wine_rack","Wine rack"
"http://dbpedia.org/resource/DesignTide","DesignTide"
"http://dbpedia.org/resource/Bathroom_cabinet","Bathroom cabinet"
"http://dbpedia.org/resource/Live_edge","Live edge"
"http://dbpedia.org/resource/International_Contemporary_Furniture_Fair","International Contemporary Furniture Fair"
"http://dbpedia.org/resource/Book_truck","Book truck"
"http://dbpedia.org/resource/Burl","Burl"
"http://dbpedia.org/resource/Modern_antique","Modern antique"
"http://dbpedia.org/resource/Chaise_longue","Chaise longue"
"http://dbpedia.org/resource/Amish_furniture","Amish furniture"
"http://dbpedia.org/resource/Bar_table","Bar table"
"http://dbpedia.org/resource/Footman_(furniture)","Footman (furniture)"
"http://dbpedia.org/resource/Room_divider","Room divider"
"http://dbpedia.org/resource/Rustic_furniture","Rustic furniture"
"http://dbpedia.org/resource/Wet_bar","Wet bar"
"http://dbpedia.org/resource/The_Furniture_Society","The Furniture Society"
"http://dbpedia.org/resource/Metal_furniture","Metal furniture"
"http://dbpedia.org/resource/Takhta","Takhta"
"http://dbpedia.org/resource/English_trunk","English trunk"
"http://dbpedia.org/resource/Kōbako","Kōbako"
"http://dbpedia.org/resource/Chadwick_modular_seating","Chadwick modular seating"
"http://dbpedia.org/resource/Rosewood","Rosewood"
"http://dbpedia.org/resource/Clothes_valet","Clothes valet"
"http://dbpedia.org/resource/Walk-in_closet","Walk-in closet"
"http://dbpedia.org/resource/Furniture_Today","Furniture Today"
"http://dbpedia.org/resource/Countertop","Countertop"
"http://dbpedia.org/resource/Easy_Edges","Easy Edges"
"http://dbpedia.org/resource/Daybed","Daybed"
"http://dbpedia.org/resource/Curio_cabinet","Curio cabinet"
"http://dbpedia.org/resource/Kneeler","Kneeler"
"http://dbpedia.org/resource/Folding_screen","Folding screen"
"http://dbpedia.org/resource/Chinese_furniture","Chinese furniture"
"http://dbpedia.org/resource/Bunkie_board","Bunkie board"
"http://dbpedia.org/resource/Súgán","Súgán"
"http://dbpedia.org/resource/Concrete_furniture","Concrete furniture"
"http://dbpedia.org/resource/Furniture_History_Society","Furniture History Society"
"http://dbpedia.org/resource/Wire_shelving","Wire shelving"
"http://dbpedia.org/resource/Milan_Furniture_Fair","Milan Furniture Fair"
"http://dbpedia.org/resource/Transitional_Style","Transitional Style"
"http://dbpedia.org/resource/Dwa_(stool)","Dwa (stool)"
"http://dbpedia.org/resource/Brumby_Rocker","Brumby Rocker"
"http://dbpedia.org/resource/Poshti_(furniture)","Poshti (furniture)"
"http://dbpedia.org/resource/Laundry-folding_machine","Laundry-folding machine"
