"euroSight","name"
"http://dbpedia.org/resource/Royal_Palace_of_Caserta","Royal Palace of Caserta"
"http://dbpedia.org/resource/St._Stephen's_Basilica","St. Stephen's Basilica"
"http://dbpedia.org/resource/Széchenyi_Chain_Bridge","Széchenyi Chain Bridge"
"http://dbpedia.org/resource/Turning_Torso","Turning Torso"
"http://dbpedia.org/resource/Ulm_Minster","Ulm Minster"
"http://dbpedia.org/resource/Hohenzollern_Castle","Hohenzollern Castle"
"http://dbpedia.org/resource/Matthias_Church","Matthias Church"
"http://dbpedia.org/resource/Kyiv_Metro_Bridge","Kyiv Metro Bridge"
"http://dbpedia.org/resource/Basilica_of_San_Vitale","Basilica of San Vitale"
"http://dbpedia.org/resource/Castel_del_Monte,_Apulia","Castel del Monte, Apulia"
"http://dbpedia.org/resource/Gustav_Adolf_Stave_Church","Gustav Adolf Stave Church"
"http://dbpedia.org/resource/Hungarian_Parliament_Building","Hungarian Parliament Building"
"http://dbpedia.org/resource/Maulbronn_Monastery","Maulbronn Monastery"
"http://dbpedia.org/resource/Museum_of_Fine_Arts_(Budapest)","Museum of Fine Arts (Budapest)"
"http://dbpedia.org/resource/Befreiungshalle","Befreiungshalle"
"http://dbpedia.org/resource/Church_of_San_Cataldo","Church of San Cataldo"
"http://dbpedia.org/resource/Fisherman's_Bastion","Fisherman's Bastion"
"http://dbpedia.org/resource/Königsallee","Königsallee"
"http://dbpedia.org/resource/Modena_Cathedral","Modena Cathedral"
"http://dbpedia.org/resource/St._Nicholas_Church,_Hamburg","St. Nicholas Church, Hamburg"
"http://dbpedia.org/resource/Colonna_Mediterranea","Colonna Mediterranea"
"http://dbpedia.org/resource/Mariam_Al-Batool_Mosque","Mariam Al-Batool Mosque"
"http://dbpedia.org/resource/Đurđevi_stupovi","Đurđevi stupovi"
"http://dbpedia.org/resource/Cathedral_of_Syracuse","Cathedral of Syracuse"
"http://dbpedia.org/resource/Palazzo_Doria_(Genoa)","Palazzo Doria (Genoa)"
"http://dbpedia.org/resource/Palazzo_Spinola_di_Pellicceria","Palazzo Spinola di Pellicceria"
"http://dbpedia.org/resource/Ankara_Synagogue","Ankara Synagogue"
"http://dbpedia.org/resource/Dahlem_Manor","Dahlem Manor"
"http://dbpedia.org/resource/IGA_Cable_Car","IGA Cable Car"
"http://dbpedia.org/resource/Minin_and_Pozharsky_Square","Minin and Pozharsky Square"
"http://dbpedia.org/resource/St._Térèse_Church","St. Térèse Church"
"http://dbpedia.org/resource/Church_of_Saint_John_the_Baptist,_Kamai","Church of Saint John the Baptist, Kamai"
"http://dbpedia.org/resource/Muravanka_Church","Muravanka Church"
"http://dbpedia.org/resource/Palazzo_Clemente_Della_Rovere","Palazzo Clemente Della Rovere"
"http://dbpedia.org/resource/Palazzo_Doria_Spinola","Palazzo Doria Spinola"
"http://dbpedia.org/resource/Inner_City_Parish_Church_in_Pest","Inner City Parish Church in Pest"
"http://dbpedia.org/resource/Bürresheim_Castle","Bürresheim Castle"
"http://dbpedia.org/resource/Viaduc_d'Ormaiztegi","Viaduc d'Ormaiztegi"
"http://dbpedia.org/resource/SkyWheel_Helsinki","SkyWheel Helsinki"
"http://dbpedia.org/resource/Altdahn_Castle","Altdahn Castle"
"http://dbpedia.org/resource/Rietburg","Rietburg"
"http://dbpedia.org/resource/Palazzo_Rosso","Palazzo Rosso"
"http://dbpedia.org/resource/Rotenhan_Castle","Rotenhan Castle"
"http://dbpedia.org/resource/Cathedral_of_Hajdúdorog","Cathedral of Hajdúdorog"
"http://dbpedia.org/resource/Kharkiv_Choral_Synagogue","Kharkiv Choral Synagogue"
"http://dbpedia.org/resource/Vercingétorix_monument","Vercingétorix monument"
"http://dbpedia.org/resource/Walls_of_Lisbon","Walls of Lisbon"
"http://dbpedia.org/resource/Kocatepe_Mosque","Kocatepe Mosque"
"http://dbpedia.org/resource/Old_Castle_(Stuttgart)","Old Castle (Stuttgart)"
"http://dbpedia.org/resource/Niederwalddenkmal","Niederwalddenkmal"
"http://dbpedia.org/resource/İzmir_Clock_Tower","İzmir Clock Tower"
"http://dbpedia.org/resource/Blumenstein_Castle,_Palatinate","Blumenstein Castle, Palatinate"
"http://dbpedia.org/resource/Meistersel_Castle","Meistersel Castle"
"http://dbpedia.org/resource/Palace_of_Venaria","Palace of Venaria"
"http://dbpedia.org/resource/Church_of_St._Michael,_Synkavichy","Church of St. Michael, Synkavichy"
"http://dbpedia.org/resource/Royal_Monastery_of_Brou","Royal Monastery of Brou"
"http://dbpedia.org/resource/Cefalù_Cathedral","Cefalù Cathedral"
"http://dbpedia.org/resource/Mespelbrunn_Castle","Mespelbrunn Castle"
"http://dbpedia.org/resource/King's_House_on_Schachen","King's House on Schachen"
"http://dbpedia.org/resource/Sacro_Monte_di_Ossuccio","Sacro Monte di Ossuccio"
"http://dbpedia.org/resource/Wildenstein_Castle_(Leibertingen)","Wildenstein Castle (Leibertingen)"
"http://dbpedia.org/resource/Abbey_Church_of_Sainte-Foy","Abbey Church of Sainte-Foy"
"http://dbpedia.org/resource/Battenberg_Castle","Battenberg Castle"
